日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-12-27,1000.98,993.0,1004.56,983.85,-0.7,-7.0,1491756,1804051792.0,2.07,1.04
2021-12-28,994.54,1003.54,1010.04,994.54,1.06,10.54,1381561,1655769776.0,1.56,0.96
2021-12-29,1001.34,1023.12,1031.81,993.1,1.95,19.58,1843997,2238676320.0,3.86,1.28
2021-12-30,1022.28,1077.22,1080.93,1021.76,5.29,54.1,2663688,3319468512.0,5.78,1.86
2021-12-31,1082.18,1081.08,1087.4,1070.75,0.36,3.86,2788779,3704223392.0,1.55,1.94
2022-01-04,1081.46,1100.36,1108.76,1081.46,1.78,19.28,3003077,4015439904.0,2.53,2.09
2022-01-05,1093.67,1084.37,1104.24,1071.59,-1.45,-15.99,2826856,3885010128.0,2.97,1.97
2022-01-06,1078.36,1097.19,1097.95,1068.95,1.18,12.82,2447745,3702194288.0,2.67,1.71
2022-01-07,1102.23,1064.54,1102.23,1063.13,-2.98,-32.65,2398288,3094174560.0,3.56,1.67
2022-01-10,1060.1,1078.06,1082.46,1047.38,1.27,13.52,2069027,2613497360.0,3.3,1.44
2022-01-11,1071.64,1070.49,1094.7,1070.49,-0.7,-7.57,3007142,4295992320.0,2.25,2.1
2022-01-12,1065.18,1074.96,1081.72,1065.18,0.42,4.47,2355652,3251409680.0,1.55,1.64
2022-01-13,1079.07,1054.87,1081.25,1054.33,-1.87,-20.09,3007454,3845530416.0,2.5,2.1
2022-01-14,1046.4,1062.36,1071.42,1046.01,0.71,7.49,2774010,3850846464.0,2.41,1.93
2022-01-17,1070.99,1117.21,1117.56,1069.33,5.16,54.85,3950934,4984634112.0,4.54,2.75
2022-01-18,1132.32,1121.97,1161.2,1119.57,0.43,4.76,4877235,6004505600.0,3.73,3.4
2022-01-19,1106.23,1130.2,1141.12,1106.23,0.73,8.23,3617126,4739542016.0,3.11,2.52
2022-01-20,1122.81,1090.79,1125.12,1088.69,-3.49,-39.41,3135224,3935898176.0,3.22,2.18
2022-01-21,1094.67,1087.21,1105.5,1086.14,-0.33,-3.58,2808860,3364075664.0,1.77,1.96
2022-01-24,1075.4,1078.27,1099.03,1075.16,-0.82,-8.94,2279439,2529037024.0,2.2,1.59
2022-01-25,1063.52,1021.33,1069.58,1020.32,-5.28,-56.94,3135513,3360321040.0,4.57,2.18
2022-01-26,1028.06,1012.41,1034.24,996.71,-0.87,-8.92,3003823,3218301920.0,3.67,2.09
2022-01-27,1006.33,958.33,1006.86,951.98,-5.34,-54.08,3360873,3401254448.0,5.42,2.34
2022-01-28,966.75,969.69,985.06,955.54,1.19,11.36,2523573,2679062896.0,3.08,1.76
2022-02-07,980.76,964.1,983.66,959.65,-0.58,-5.59,2155836,2316517088.0,2.48,1.5
2022-02-08,962.76,982.95,983.92,950.73,1.96,18.85,2048729,2177505664.0,3.44,1.43
2022-02-09,985.84,1021.81,1022.25,981.52,3.95,38.86,3126416,3292672400.0,4.14,2.18
2022-02-10,1017.79,1026.35,1034.04,1014.46,0.44,4.54,3414594,3507036256.0,1.92,2.38
2022-02-11,1021.33,999.5,1029.67,992.95,-2.62,-26.85,3465885,3792422656.0,3.58,2.41
2022-02-14,987.52,982.28,995.85,976.33,-1.72,-17.22,2135678,2222818896.0,1.95,1.49
2022-02-15,986.0,993.41,998.55,979.32,1.13,11.13,1792521,1924516832.0,1.96,1.25
2022-02-16,1003.97,989.52,1008.09,984.19,-0.39,-3.89,1789382,1872306768.0,2.41,1.25
2022-02-17,988.52,986.49,1003.96,984.37,-0.31,-3.03,1815915,2035992528.0,1.98,1.27
2022-02-18,981.79,989.88,998.98,981.79,0.34,3.39,1769440,1946571392.0,1.74,1.23
2022-02-21,995.44,1035.91,1036.94,994.77,4.65,46.03,3512588,3711691872.0,4.26,2.45
2022-02-22,1027.68,1017.72,1031.78,1008.56,-1.76,-18.19,3196517,3483013696.0,2.24,2.23
2022-02-23,1021.81,1028.09,1030.57,1016.99,1.02,10.37,2347385,2635980672.0,1.33,1.64
2022-02-24,1022.84,983.34,1027.29,966.22,-4.35,-44.75,3629321,3940094384.0,5.94,2.53
2022-02-25,991.16,987.79,1000.27,985.66,0.45,4.45,1995627,2175179408.0,1.49,1.39
2022-02-28,987.44,980.93,990.98,968.97,-0.69,-6.86,1863803,1958085648.0,2.23,1.3
2022-03-01,981.98,987.49,988.61,978.6,0.67,6.56,1615273,1717725648.0,1.02,1.13
2022-03-02,982.23,989.09,992.6,979.59,0.16,1.6,1410540,1510928176.0,1.32,0.98
2022-03-03,989.62,976.34,992.14,974.65,-1.29,-12.75,1621106,1762606704.0,1.77,1.13
2022-03-04,971.36,970.79,984.17,965.35,-0.57,-5.55,1743744,1835027872.0,1.93,1.21
2022-03-07,965.82,954.95,965.82,949.84,-1.63,-15.84,1803824,1836370240.0,1.65,1.26
2022-03-08,949.52,923.03,956.35,919.93,-3.34,-31.92,1842481,1837271104.0,3.81,1.28
2022-03-09,923.81,896.54,927.36,863.61,-2.87,-26.49,2461414,2350681264.0,6.91,1.72
2022-03-10,913.64,907.98,922.12,907.67,1.28,11.44,1819199,1777470304.0,1.61,1.27
2022-03-11,896.91,921.06,922.09,885.19,1.44,13.08,2039498,1959639712.0,4.06,1.42
2022-03-14,923.85,898.92,931.3,898.92,-2.4,-22.14,2031974,2154442624.0,3.52,1.42
2022-03-15,891.3,849.94,895.19,849.66,-5.45,-48.98,2481251,2472480480.0,5.06,1.73
2022-03-16,863.01,865.08,868.95,823.47,1.78,15.14,2395906,2260898368.0,5.35,1.67
2022-03-17,873.93,889.41,901.15,870.81,2.81,24.33,2262082,2240791264.0,3.51,1.58
2022-03-18,886.59,909.61,910.12,883.51,2.27,20.2,2316474,2253450624.0,2.99,1.61
2022-03-21,912.06,902.2,912.06,890.29,-0.81,-7.41,2240571,2137067504.0,2.39,1.56
2022-03-22,897.33,890.41,898.33,885.78,-1.31,-11.79,1408143,1370815856.0,1.39,0.98
2022-03-23,889.94,889.87,894.08,884.58,-0.06,-0.54,1243894,1205168336.0,1.07,0.87
2022-03-24,884.65,882.93,886.06,868.22,-0.78,-6.94,1573881,1551736240.0,2.0,1.1
2022-03-25,884.91,872.77,887.92,870.46,-1.15,-10.16,1363344,1401549536.0,1.98,0.95
2022-03-28,871.55,872.69,878.74,859.14,-0.01,-0.08,1174345,1174681120.0,2.25,0.82
2022-03-29,875.79,858.54,875.81,856.9,-1.62,-14.15,1207877,1207565008.0,2.17,0.84
2022-03-30,861.99,872.87,873.18,855.55,1.67,14.33,1122396,1124593888.0,2.05,0.78
2022-03-31,869.13,865.25,876.57,863.35,-0.87,-7.62,1113387,1096748256.0,1.51,0.78
2022-04-01,861.17,861.25,861.61,852.68,-0.46,-4.0,1008417,949117664.0,1.03,0.7
2022-04-06,860.36,877.79,878.12,860.36,1.92,16.54,1237986,1183970976.0,2.06,0.86
2022-04-07,875.69,842.0,876.68,841.95,-4.08,-35.79,1697703,1571927696.0,3.96,1.18
2022-04-08,842.92,826.71,844.82,818.26,-1.82,-15.29,1445818,1291485776.0,3.15,1.01
2022-04-11,822.6,795.15,823.5,788.67,-3.82,-31.56,1413589,1240352992.0,4.21,0.98
2022-04-12,793.18,811.98,812.7,788.85,2.12,16.83,1076911,933415296.0,3.0,0.75
2022-04-13,809.76,793.01,809.76,793.01,-2.34,-18.97,1018559,867398368.0,2.06,0.71
2022-04-14,797.88,806.35,812.52,796.53,1.68,13.34,1055268,942708672.0,2.02,0.74
2022-04-15,805.53,787.44,805.53,786.14,-2.35,-18.91,1327372,1200544464.0,2.4,0.92
2022-04-18,783.42,788.55,791.03,768.0,0.14,1.11,1018119,880001632.0,2.92,0.71
2022-04-19,788.68,784.38,798.89,779.35,-0.53,-4.17,862699,742552656.0,2.48,0.6
2022-04-20,795.46,781.9,802.46,778.77,-0.32,-2.48,1295481,1093087152.0,3.02,0.9
2022-04-21,777.98,749.0,781.89,746.26,-4.21,-32.9,1413961,1154847872.0,4.56,0.99
2022-04-22,745.1,740.35,748.81,731.71,-1.15,-8.65,1205968,960677936.0,2.28,0.84
2022-04-25,732.78,681.18,732.78,680.55,-7.99,-59.17,2041884,1543630320.0,7.05,1.42
2022-04-26,681.13,654.6,686.18,654.6,-3.9,-26.58,1915235,1349573520.0,4.64,1.33
2022-04-27,645.72,678.43,679.58,640.39,3.64,23.83,1901028,1318142400.0,5.99,1.32
2022-04-28,677.94,654.18,677.94,647.57,-3.57,-24.25,1324723,932306064.0,4.48,0.92
2022-04-29,657.94,684.57,687.41,657.94,4.65,30.39,2060318,1461834576.0,4.5,1.44
2022-05-05,679.76,684.44,690.81,669.95,-0.02,-0.13,1594677,1143650064.0,3.05,1.11
2022-05-06,669.63,700.2,705.97,664.22,2.3,15.76,2030824,1503485888.0,6.1,1.42
2022-05-09,704.56,700.72,709.99,697.32,0.07,0.52,1867846,1516066496.0,1.81,1.3
2022-05-10,691.46,712.67,713.18,687.83,1.71,11.95,1890770,1473105536.0,3.62,1.32
2022-05-11,712.69,709.12,728.93,708.62,-0.5,-3.55,2007684,1587307200.0,2.85,1.4
