日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2024-12-02,1023.75,1057.41,1072.26,1022.67,5.74,57.41,17711506,35593429939.0,4.96,0.93
2024-12-03,1058.27,1067.43,1087.15,1056.31,0.95,10.02,18576785,36333039461.0,2.92,0.97
2024-12-04,1059.2,1086.8,1113.47,1059.2,1.81,19.37,26926430,45329326018.0,5.08,1.41
2024-12-05,1094.15,1132.52,1153.78,1094.15,4.21,45.72,22188436,43504646708.0,5.49,1.16
2024-12-06,1144.24,1121.42,1149.14,1099.4,-0.98,-11.1,30794789,56391954791.0,4.39,1.62
2024-12-09,1110.32,1150.51,1178.05,1110.32,2.59,29.09,25681299,54008870850.0,6.04,1.35
2024-12-10,1187.98,1217.07,1241.68,1171.88,5.79,66.56,33126684,72057845283.0,6.07,1.74
2024-12-11,1197.65,1217.87,1227.28,1171.94,0.07,0.8,46563291,79586563135.0,4.55,2.44
2024-12-12,1202.79,1191.33,1210.11,1178.58,-2.18,-26.54,38250996,66235221131.0,2.59,2.01
2024-12-13,1177.02,1168.77,1205.57,1167.13,-1.89,-22.56,36180652,61672895878.0,3.23,1.9
2024-12-16,1160.54,1137.71,1171.61,1130.69,-2.66,-31.06,32942598,50674097003.0,3.5,1.73
2024-12-17,1129.38,1086.61,1133.03,1082.97,-4.49,-51.1,25056304,37456763359.0,4.4,1.31
2024-12-18,1091.98,1093.92,1103.88,1077.16,0.67,7.31,24294810,36458562886.0,2.46,1.27
2024-12-19,1077.21,1103.24,1108.22,1076.28,0.85,9.32,22127596,36802810551.0,2.92,1.16
2024-12-20,1096.08,1133.97,1148.79,1095.54,2.79,30.73,24793934,42711595946.0,4.83,1.3
2024-12-23,1127.01,1079.2,1131.66,1076.48,-4.83,-54.77,20257084,32537574793.0,4.87,1.06
2024-12-24,1096.25,1115.77,1122.79,1094.73,3.39,36.57,20134015,35344145061.0,2.6,1.06
2024-12-25,1113.19,1097.97,1116.85,1083.52,-1.6,-17.8,22978495,40783941758.0,2.99,1.21
2024-12-26,1091.01,1125.38,1134.33,1087.96,2.5,27.41,20946776,39788219172.0,4.22,1.1
2024-12-27,1121.61,1106.45,1129.25,1101.66,-1.68,-18.93,22830790,39331026288.0,2.45,1.2
2024-12-30,1099.08,1084.9,1104.2,1075.86,-1.95,-21.55,20225536,34180554107.0,2.56,1.06
2024-12-31,1086.6,1044.51,1090.81,1044.51,-3.72,-40.39,21275288,33371716568.0,4.27,1.12
2025-01-02,1042.33,1034.88,1069.95,1023.47,-0.92,-9.63,20862900,35219388905.0,4.45,1.09
2025-01-03,1035.23,980.26,1037.84,978.65,-5.28,-54.62,20037482,32031151141.0,5.72,1.05
2025-01-06,975.42,961.33,982.48,951.99,-1.93,-18.93,15436414,23254949558.0,3.11,0.81
2025-01-07,963.92,995.34,995.35,963.92,3.54,34.01,17091270,25616178345.0,3.27,0.9
2025-01-08,990.79,1028.93,1043.29,967.4,3.37,33.59,25227540,40615331084.0,7.62,1.32
2025-01-09,1020.43,1066.03,1074.16,1020.43,3.61,37.1,26418764,44310688598.0,5.22,1.39
2025-01-10,1065.08,1076.07,1123.67,1065.08,0.94,10.04,30700379,55358969189.0,5.5,1.61
2025-01-13,1052.8,1074.65,1110.37,1052.8,-0.13,-1.42,28335558,50748909346.0,5.35,1.49
2025-01-14,1071.83,1169.01,1169.02,1071.81,8.78,94.36,39012637,71708986969.0,9.05,2.05
2025-01-15,1168.16,1168.15,1178.87,1157.46,-0.07,-0.86,35112042,66316924787.0,1.83,1.84
2025-01-16,1173.41,1158.23,1194.46,1144.84,-0.85,-9.92,31627300,64334007229.0,4.25,1.66
2025-01-17,1151.4,1157.26,1180.02,1149.27,-0.08,-0.97,24953819,49960522515.0,2.65,1.31
2025-01-20,1169.1,1170.16,1177.14,1154.67,1.11,12.9,25661755,50515321165.0,1.94,1.35
2025-01-21,1176.38,1215.66,1215.66,1171.91,3.89,45.5,30988403,68108756521.0,3.74,1.63
2025-01-22,1203.31,1193.26,1210.36,1187.97,-1.84,-22.4,28217109,56707731550.0,1.84,1.48
2025-01-23,1205.79,1196.42,1239.92,1193.93,0.26,3.16,34426386,66836103619.0,3.85,1.81
2025-01-24,1185.43,1235.59,1236.27,1181.55,3.27,39.17,34907094,67905548638.0,4.57,1.83
2025-01-27,1229.12,1175.04,1230.23,1175.04,-4.9,-60.55,25846309,49211839534.0,4.47,1.36
2025-02-05,1192.17,1217.43,1230.87,1190.12,3.61,42.39,28735896,60666700021.0,3.47,1.51
2025-02-06,1210.45,1306.24,1317.04,1209.84,7.29,88.81,41472476,84788869911.0,8.81,2.18
2025-02-07,1305.04,1318.05,1334.52,1290.69,0.9,11.81,51956227,105665171096.0,3.36,2.73
2025-02-10,1312.65,1318.74,1318.74,1287.84,0.05,0.69,42615298,87506488458.0,2.34,2.24
2025-02-11,1310.4,1328.7,1345.37,1302.63,0.76,9.96,38717034,82461977094.0,3.24,2.03
2025-02-12,1318.59,1350.14,1360.08,1308.26,1.61,21.44,49407263,87966258750.0,3.9,2.59
2025-02-13,1348.66,1301.63,1355.32,1301.63,-3.59,-48.51,52769774,93118474225.0,3.98,2.77
2025-02-14,1288.0,1287.88,1306.1,1279.48,-1.06,-13.75,36343519,70142536142.0,2.05,1.91
2025-02-17,1286.83,1338.31,1338.31,1286.76,3.92,50.43,43948591,83684853930.0,4.0,2.31
2025-02-18,1335.05,1314.09,1354.14,1308.12,-1.81,-24.22,43433626,80660558765.0,3.44,2.28
2025-02-19,1309.78,1428.18,1428.88,1309.78,8.68,114.09,58227573,114590949594.0,9.06,3.06
2025-02-20,1435.07,1467.12,1487.93,1427.13,2.73,38.94,69215945,133117157460.0,4.26,3.63
2025-02-21,1458.09,1503.5,1503.5,1456.9,2.48,36.38,65203239,130243564224.0,3.18,3.42
2025-02-24,1499.77,1511.82,1542.46,1467.79,0.55,8.32,56017230,122922362858.0,4.97,2.94
2025-02-25,1471.59,1518.5,1543.86,1470.7,0.44,6.68,50944359,113147819942.0,4.84,2.67
2025-02-26,1518.68,1557.49,1601.98,1518.68,2.57,38.99,61534944,140280508001.0,5.49,3.23
2025-02-27,1549.14,1554.37,1571.12,1514.48,-0.2,-3.12,56498263,124398119502.0,3.64,2.96
2025-02-28,1539.56,1435.01,1542.12,1430.37,-7.68,-119.36,46373009,101349028321.0,7.19,2.43
2025-03-03,1442.72,1429.04,1471.02,1413.49,-0.42,-5.97,39477963,82291747786.0,4.01,2.07
2025-03-04,1415.83,1478.17,1490.73,1415.83,3.44,49.13,43755189,88760548995.0,5.24,2.3
2025-03-05,1470.34,1514.64,1515.57,1470.34,2.47,36.47,44594874,91280214842.0,3.06,2.34
2025-03-06,1521.03,1536.86,1549.82,1517.35,1.47,22.22,48305829,103479426886.0,2.14,2.53
2025-03-07,1524.14,1557.19,1570.67,1521.71,1.32,20.33,47767435,107639176658.0,3.19,2.51
2025-03-10,1573.73,1570.92,1593.27,1557.82,0.88,13.73,42085542,94823221777.0,2.28,2.21
2025-03-11,1540.33,1567.12,1578.18,1531.37,-0.24,-3.8,44736201,100291423735.0,2.98,2.35
2025-03-12,1576.94,1558.43,1585.9,1557.82,-0.55,-8.69,42472715,90463583757.0,1.79,2.23
2025-03-13,1551.89,1478.99,1552.9,1460.24,-5.1,-79.44,46144179,95877440481.0,5.95,2.42
2025-03-14,1473.93,1528.26,1537.66,1460.55,3.33,49.27,39187038,89215104506.0,5.21,2.06
2025-03-17,1532.33,1550.54,1555.89,1513.32,1.46,22.28,36262180,85840124501.0,2.79,1.9
2025-03-18,1554.41,1560.99,1562.28,1536.5,0.67,10.45,36901929,82666513505.0,1.66,1.94
2025-03-19,1555.3,1557.9,1577.06,1538.51,-0.2,-3.09,39387088,91087487484.0,2.47,2.07
2025-03-20,1551.49,1555.35,1579.18,1532.35,-0.16,-2.55,41521861,92896849468.0,3.01,2.18
2025-03-21,1539.29,1480.7,1540.11,1477.54,-4.8,-74.65,41572967,85624238072.0,4.02,2.18
2025-03-24,1478.18,1469.32,1484.24,1423.78,-0.77,-11.38,43122505,78827369964.0,4.08,2.26
2025-03-25,1468.18,1439.8,1485.44,1435.43,-2.01,-29.52,39035502,75323747005.0,3.4,2.05
2025-03-26,1429.31,1465.94,1484.1,1429.31,1.82,26.14,40265468,72988492373.0,3.81,2.11
2025-03-27,1457.62,1447.4,1476.14,1436.41,-1.26,-18.54,37902345,68383399727.0,2.71,1.99
2025-03-28,1443.07,1426.54,1458.42,1426.51,-1.44,-20.86,30235642,54613857636.0,2.2,1.59
2025-03-31,1404.42,1393.22,1405.27,1351.98,-2.34,-33.32,33899491,62608541043.0,3.74,1.78
2025-04-01,1401.93,1379.77,1406.01,1377.25,-0.97,-13.45,24688759,46368831636.0,2.06,1.3
2025-04-02,1378.86,1403.79,1418.04,1378.86,1.74,24.02,26998967,49008042346.0,2.84,1.42
2025-04-03,1383.03,1365.69,1409.4,1359.69,-2.71,-38.1,29130154,53908142126.0,3.54,1.53
2025-04-07,1245.92,1167.24,1264.27,1161.28,-14.53,-198.45,26742670,50240734350.0,7.54,1.4
2025-04-08,1150.97,1137.79,1180.41,1108.87,-2.52,-29.45,42690885,65775215443.0,6.13,2.24
2025-04-09,1105.77,1177.68,1187.77,1046.02,3.51,39.89,48059238,75413615277.0,12.46,2.52
2025-04-10,1221.17,1228.75,1265.1,1221.17,4.34,51.07,44096582,81496795558.0,3.73,2.31
2025-04-11,1214.05,1259.31,1276.38,1214.05,2.49,30.56,35430864,68092177986.0,5.07,1.86
2025-04-14,1288.06,1279.53,1298.61,1273.55,1.61,20.22,32496921,61920117401.0,1.99,1.71
2025-04-15,1283.25,1285.81,1294.42,1266.72,0.49,6.28,25940872,50965750303.0,2.16,1.36
2025-04-16,1279.64,1256.92,1282.83,1240.14,-2.25,-28.89,26399783,48312359760.0,3.32,1.39
2025-04-17,1250.41,1250.66,1273.05,1250.41,-0.5,-6.26,20170189,39560734706.0,1.8,1.06
2025-04-18,1249.86,1252.69,1259.11,1239.99,0.16,2.03,18725784,35735061759.0,1.53,0.98
2025-04-21,1247.92,1296.45,1296.47,1241.07,3.49,43.76,25522386,50954254370.0,4.42,1.34
2025-04-22,1293.06,1276.11,1294.59,1275.9,-1.57,-20.34,20612921,43804538299.0,1.44,1.08
2025-04-23,1293.64,1341.45,1351.76,1293.64,5.12,65.34,39459004,79781073671.0,4.55,2.07
2025-04-24,1340.42,1324.2,1352.78,1319.62,-1.29,-17.25,30855332,64598824749.0,2.47,1.62
2025-04-25,1327.41,1331.79,1342.65,1315.71,0.57,7.59,25873810,53465348260.0,2.03,1.36
2025-04-28,1329.13,1310.64,1333.42,1308.47,-1.59,-21.15,23677050,44615851916.0,1.87,1.24
2025-04-29,1305.85,1342.18,1347.56,1299.67,2.41,31.54,28901138,57537155375.0,3.65,1.52
2025-04-30,1348.69,1393.01,1402.62,1348.69,3.79,50.83,35322566,72547172863.0,4.02,1.85
2025-05-06,1409.64,1443.83,1443.83,1406.02,3.65,50.82,39540698,81998203644.0,2.71,2.07
2025-05-07,1459.73,1442.77,1462.6,1421.74,-0.07,-1.06,42183587,88266435341.0,2.83,2.21
2025-05-08,1435.45,1459.92,1463.24,1434.2,1.19,17.15,35798196,81479178647.0,2.01,1.88
2025-05-09,1456.21,1425.21,1456.27,1412.47,-2.38,-34.71,34342354,77183211973.0,3.0,1.8
2025-05-12,1445.84,1476.08,1476.14,1445.84,3.57,50.87,39958253,91369517446.0,2.13,2.1
2025-05-13,1495.54,1455.53,1496.44,1452.84,-1.39,-20.55,34972772,82337636775.0,2.95,1.84
2025-05-14,1452.36,1443.15,1459.45,1434.06,-0.85,-12.38,27893602,66604299850.0,1.74,1.46
2025-05-15,1439.32,1415.8,1439.32,1409.45,-1.9,-27.35,27494354,60028062767.0,2.07,1.44
2025-05-16,1409.9,1440.05,1458.13,1409.9,1.71,24.25,31668925,70866076281.0,3.41,1.66
2025-05-19,1438.49,1424.33,1438.49,1397.18,-1.09,-15.72,31191542,66881943544.0,2.87,1.64
2025-05-20,1423.37,1425.25,1432.9,1405.67,0.06,0.92,27072956,58501568167.0,1.91,1.42
2025-05-21,1418.47,1408.13,1419.09,1397.74,-1.2,-17.12,25557367,54795690490.0,1.5,1.34
2025-05-22,1403.99,1385.7,1418.52,1384.15,-1.59,-22.43,22261027,47383027343.0,2.44,1.17
2025-05-23,1383.33,1374.15,1413.29,1373.73,-0.83,-11.55,28906315,58288542921.0,2.85,1.52
2025-05-26,1369.83,1383.64,1383.64,1367.22,0.69,9.49,26000559,49530934554.0,1.19,1.36
2025-05-27,1379.7,1363.35,1379.7,1354.65,-1.47,-20.29,23191152,46339519230.0,1.81,1.22
2025-05-28,1364.77,1356.22,1376.19,1352.74,-0.52,-7.13,21192653,44811843134.0,1.72,1.11
2025-05-29,1355.36,1375.1,1383.92,1355.36,1.39,18.88,26186523,52456056469.0,2.11,1.37
2025-05-30,1368.27,1335.92,1368.27,1331.71,-2.85,-39.18,24486624,47468148638.0,2.66,1.28
2025-06-03,1327.46,1337.77,1343.78,1326.84,0.14,1.85,19862628,43536256735.0,1.27,1.04
2025-06-04,1339.71,1353.53,1356.89,1339.71,1.18,15.76,20133487,42379206388.0,1.28,1.06
2025-06-05,1353.98,1381.87,1384.43,1342.9,2.09,28.34,28297153,61563144581.0,3.07,1.48
2025-06-06,1378.61,1367.16,1378.79,1362.35,-1.06,-14.71,21127248,47371364831.0,1.19,1.11
2025-06-09,1370.86,1379.16,1390.86,1370.86,0.88,12.0,22958737,51974392356.0,1.46,1.2
2025-06-10,1380.76,1358.97,1381.18,1335.92,-1.46,-20.19,28128017,59380032714.0,3.28,1.48
2025-06-11,1360.83,1369.59,1375.94,1360.75,0.78,10.62,25286174,51246381970.0,1.12,1.33
2025-06-12,1363.23,1369.26,1377.44,1356.23,-0.02,-0.33,24073864,48641041733.0,1.55,1.26
2025-06-13,1361.77,1338.58,1363.98,1333.93,-2.24,-30.68,28823285,59848472591.0,2.19,1.51
2025-06-16,1330.58,1345.41,1347.58,1330.58,0.51,6.83,20275491,44633047719.0,1.27,1.06
