日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1008.3,1008.3,1008.3,1008.3,0.83,8.3,286385,490556836.0,0.0,0.53
2010-01-05,1009.35,1009.35,1009.35,1009.35,0.1,1.05,243807,458661717.0,0.0,0.45
2010-01-06,1011.37,1011.37,1011.37,1011.37,0.2,2.02,251201,448316783.0,0.0,0.47
2010-01-07,977.29,977.29,977.29,977.29,-3.37,-34.08,316734,536197305.0,0.0,0.59
2010-01-08,980.09,980.09,980.09,980.09,0.29,2.8,175133,294946891.0,0.0,0.33
2010-01-11,995.66,995.66,995.66,995.66,1.59,15.57,250732,432466712.0,0.0,0.47
2010-01-12,1016.1,1016.1,1016.1,1016.1,2.05,20.44,262263,458641958.0,0.0,0.49
2010-01-13,999.63,999.63,999.63,999.63,-1.62,-16.47,234438,455387212.0,0.0,0.44
2010-01-14,1023.56,1023.56,1023.56,1023.56,2.39,23.93,263570,443404730.0,0.0,0.49
2010-01-15,1030.41,1030.41,1030.41,1030.41,0.67,6.85,226417,439473897.0,0.0,0.42
2010-01-18,1035.49,1035.49,1035.49,1035.49,0.49,5.08,218918,413262976.0,0.0,0.41
2010-01-19,1034.19,1034.19,1034.19,1034.19,-0.13,-1.3,154675,306271028.0,0.0,0.29
2010-01-20,989.19,989.19,989.19,989.19,-4.35,-45.0,326820,598154353.0,0.0,0.61
2010-01-21,992.81,992.81,992.81,992.81,0.37,3.62,164463,287204469.0,0.0,0.31
2010-01-22,960.41,960.41,960.41,960.41,-3.26,-32.4,180579,244733497.0,0.0,0.34
2010-01-25,957.22,957.22,957.22,957.22,-0.33,-3.19,93752,143563931.0,0.0,0.17
2010-01-26,931.52,931.52,931.52,931.52,-2.68,-25.7,108337,159050157.0,0.0,0.2
2010-01-27,925.88,925.88,925.88,925.88,-0.61,-5.64,94593,139997072.0,0.0,0.18
2010-01-28,947.2,947.2,947.2,947.2,2.3,21.32,93240,153063822.0,0.0,0.17
2010-01-29,949.01,949.01,949.01,949.01,0.19,1.81,99928,168058378.0,0.0,0.19
2010-02-01,935.53,935.53,935.53,935.53,-1.42,-13.48,87060,143251760.0,0.0,0.16
2010-02-02,938.38,938.38,938.38,938.38,0.3,2.85,91538,155912325.0,0.0,0.17
2010-02-03,952.79,952.79,952.79,952.79,1.54,14.41,134922,191843371.0,0.0,0.25
2010-02-04,960.07,960.07,960.07,960.07,0.76,7.28,184123,306316369.0,0.0,0.34
2010-02-05,947.86,947.86,947.86,947.86,-1.27,-12.21,207423,373703590.0,0.0,0.39
2010-02-08,931.56,931.56,931.56,931.56,-1.72,-16.3,174810,303456112.0,0.0,0.32
2010-02-09,936.58,936.58,936.58,936.58,0.54,5.02,100908,163448037.0,0.0,0.19
2010-02-10,946.65,946.65,946.65,946.65,1.08,10.07,65723,105132574.0,0.0,0.12
2010-02-11,948.42,948.42,948.42,948.42,0.19,1.77,48586,80706101.0,0.0,0.09
2010-02-12,957.8,957.8,957.8,957.8,0.99,9.38,63141,83721676.0,0.0,0.12
2010-02-22,946.01,946.01,946.01,946.01,-1.23,-11.79,70067,100365297.0,0.0,0.13
2010-02-23,958.13,958.13,958.13,958.13,1.28,12.12,85318,60402204.0,0.0,0.16
2010-02-24,972.02,972.02,972.02,972.02,1.45,13.89,163966,251844019.0,0.0,0.3
2010-02-25,987.33,987.33,987.33,987.33,1.58,15.31,217824,348675188.0,0.0,0.4
2010-02-26,1000.6,1000.6,1000.6,1000.6,1.34,13.27,284274,504439352.0,0.0,0.53
2010-03-01,998.35,998.35,998.35,998.35,-0.22,-2.25,175529,326292420.0,0.0,0.33
2010-03-02,998.16,998.16,998.16,998.16,-0.02,-0.19,139613,234905751.0,0.0,0.26
2010-03-03,1014.69,1014.69,1014.69,1014.69,1.66,16.53,213920,383926410.0,0.0,0.4
2010-03-04,978.98,978.98,978.98,978.98,-3.52,-35.71,198400,351259985.0,0.0,0.37
2010-03-05,980.74,980.74,980.74,980.74,0.18,1.76,107041,188976313.0,0.0,0.2
2010-03-08,983.83,983.83,983.83,983.83,0.32,3.09,85411,145029873.0,0.0,0.16
2010-03-09,978.89,978.89,978.89,978.89,-0.5,-4.94,87724,137746373.0,0.0,0.16
2010-03-10,971.11,971.11,971.11,971.11,-0.79,-7.78,84938,134810219.0,0.0,0.16
2010-03-11,969.69,969.69,969.69,969.69,-0.15,-1.42,79329,124807223.0,0.0,0.15
2010-03-12,962.24,962.24,962.24,962.24,-0.77,-7.45,63985,116384044.0,0.0,0.12
2010-03-15,950.87,950.87,950.87,950.87,-1.18,-11.37,86579,131676709.0,0.0,0.16
2010-03-16,959.27,959.27,959.27,959.27,0.88,8.4,76973,128900116.0,0.0,0.14
2010-03-17,978.45,978.45,978.45,978.45,2.0,19.18,125804,193240819.0,0.0,0.23
2010-03-18,975.29,975.29,975.29,975.29,-0.32,-3.16,101980,177918027.0,0.0,0.19
2010-03-19,975.01,975.01,975.01,975.01,-0.03,-0.28,75553,119387218.0,0.0,0.14
2010-03-22,999.54,999.54,999.54,999.54,2.52,24.53,126464,215487146.0,0.0,0.23
2010-03-23,1003.73,1003.73,1003.73,1003.73,0.42,4.19,145741,266607094.0,0.0,0.27
2010-03-24,1006.53,1006.53,1006.53,1006.53,0.28,2.8,112403,218686438.0,0.0,0.21
2010-03-25,997.07,997.07,997.07,997.07,-0.94,-9.46,102872,186004227.0,0.0,0.19
2010-03-26,1023.14,1023.14,1023.14,1023.14,2.61,26.07,261130,230425112.0,0.0,0.48
2010-03-29,1042.1,1042.1,1042.1,1042.1,1.85,18.96,294294,543526891.0,0.0,0.55
2010-03-30,1037.04,1037.04,1037.04,1037.04,-0.49,-5.06,154583,283793886.0,0.0,0.29
2010-03-31,1043.67,1043.67,1043.67,1043.67,0.64,6.63,154708,269545882.0,0.0,0.29
2010-04-01,1060.89,1060.89,1060.89,1060.89,1.65,17.22,222795,423122084.0,0.0,0.41
2010-04-02,1057.51,1057.51,1057.51,1057.51,-0.32,-3.38,183743,293381107.0,0.0,0.34
2010-04-06,1053.27,1053.27,1053.27,1053.27,-0.4,-4.24,98760,134620030.0,0.0,0.18
2010-04-07,1035.58,1035.58,1035.58,1035.58,-1.68,-17.69,270743,519412671.0,0.0,0.5
2010-04-08,1044.51,1044.51,1044.51,1044.51,0.86,8.93,232991,430149251.0,0.0,0.43
2010-04-09,1085.4,1085.4,1085.4,1085.4,3.91,40.89,350040,668342436.0,0.0,0.65
2010-04-12,1100.44,1100.44,1100.44,1100.44,1.39,15.04,274114,544777356.0,0.0,0.51
2010-04-13,1093.84,1093.84,1093.84,1093.84,-0.6,-6.6,254121,482554397.0,0.0,0.47
2010-04-14,1100.41,1100.41,1100.41,1100.41,0.6,6.57,172044,321561773.0,0.0,0.32
2010-04-15,1083.2,1083.2,1083.2,1083.2,-1.56,-17.21,186095,325211485.0,0.0,0.35
2010-04-16,1091.71,1091.71,1091.71,1091.71,0.79,8.51,164346,320720556.0,0.0,0.31
2010-04-19,1066.3,1066.3,1066.3,1066.3,-2.33,-25.41,257012,453347985.0,0.0,0.48
2010-04-20,1083.97,1083.97,1083.97,1083.97,1.66,17.67,158651,273046309.0,0.0,0.29
2010-04-21,1119.22,1119.22,1119.22,1119.22,3.25,35.25,243572,463308396.0,0.0,0.45
2010-04-22,1132.66,1132.66,1132.66,1132.66,1.2,13.44,196225,403868034.0,0.0,0.36
2010-04-23,1117.53,1117.53,1117.53,1117.53,-1.34,-15.13,156834,307833511.0,0.0,0.29
2010-04-26,1118.58,1118.58,1118.58,1118.58,0.09,1.05,128802,262186631.0,0.0,0.24
2010-04-27,1095.46,1095.46,1095.46,1095.46,-2.07,-23.12,184677,317469475.0,0.0,0.34
2010-04-28,1104.6,1104.6,1104.6,1104.6,0.83,9.14,161661,341561142.0,0.0,0.3
2010-04-29,1079.56,1079.56,1079.56,1079.56,-2.27,-25.04,157089,348069907.0,0.0,0.29
2010-04-30,1052.13,1052.13,1052.13,1052.13,-2.54,-27.43,170131,286446032.0,0.0,0.32
2010-05-04,1037.73,1037.73,1037.73,1037.73,-1.37,-14.4,104293,196977815.0,0.0,0.19
2010-05-05,1044.43,1044.43,1044.43,1044.43,0.65,6.7,179241,275868082.0,0.0,0.33
2010-05-06,1003.08,1003.08,1003.08,1003.08,-3.96,-41.35,215172,324694789.0,0.0,0.4
2010-05-07,964.99,964.99,964.99,964.99,-3.8,-38.09,203723,245572302.0,0.0,0.38
2010-05-10,922.74,922.74,922.74,922.74,-4.38,-42.25,203038,299582160.0,0.0,0.38
2010-05-11,889.73,889.73,889.73,889.73,-3.58,-33.01,200845,284057502.0,0.0,0.37
2010-05-12,874.17,874.17,874.17,874.17,-1.75,-15.56,260453,387912348.0,0.0,0.48
2010-05-13,902.05,902.05,902.05,902.05,3.19,27.88,211169,318389285.0,0.0,0.39
2010-05-14,902.35,902.35,902.35,902.35,0.03,0.3,200562,322290323.0,0.0,0.37
2010-05-17,845.46,845.46,845.46,845.46,-6.3,-56.89,218123,297251432.0,0.0,0.41
2010-05-18,846.86,846.86,846.86,846.86,0.17,1.4,175101,233224792.0,0.0,0.33
2010-05-19,851.05,851.05,851.05,851.05,0.49,4.19,172208,249583968.0,0.0,0.32
2010-05-20,848.31,848.31,848.31,848.31,-0.32,-2.74,203031,298464599.0,0.0,0.38
2010-05-21,873.98,873.98,873.98,873.98,3.03,25.67,276593,427281998.0,0.0,0.51
2010-05-24,912.14,912.14,912.14,912.14,4.37,38.16,298497,529739804.0,0.0,0.55
2010-05-25,898.99,898.99,898.99,898.99,-1.44,-13.15,255702,390329124.0,0.0,0.47
2010-05-26,897.57,897.57,897.57,897.57,-0.16,-1.42,172822,267614144.0,0.0,0.32
2010-05-27,913.89,913.89,913.89,913.89,1.82,16.32,232421,333882847.0,0.0,0.43
2010-05-28,913.01,913.01,913.01,913.01,-0.1,-0.88,215286,338332184.0,0.0,0.4
2010-05-31,886.01,886.01,886.01,886.01,-2.96,-27.0,173794,269035593.0,0.0,0.32
2010-06-01,869.62,869.62,869.62,869.62,-1.85,-16.39,186624,282173192.0,0.0,0.35
2010-06-02,880.36,880.36,880.36,880.36,1.24,10.74,122217,177940740.0,0.0,0.23
