日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1020.15,1020.15,1020.15,1020.15,2.02,20.15,1288032,1422216992.0,0.0,0.36
2010-01-05,1032.82,1032.82,1032.82,1032.82,1.24,12.67,1246520,1160367598.0,0.0,0.35
2010-01-06,1018.11,1018.11,1018.11,1018.11,-1.42,-14.71,801780,790144443.0,0.0,0.22
2010-01-07,1007.76,1007.76,1007.76,1007.76,-1.02,-10.35,1793703,1467355242.0,0.0,0.5
2010-01-08,1016.65,1016.65,1016.65,1016.65,0.88,8.89,1074704,905097301.0,0.0,0.3
2010-01-11,1012.68,1012.68,1012.68,1012.68,-0.39,-3.97,907559,787623803.0,0.0,0.25
2010-01-12,1033.87,1033.87,1033.87,1033.87,2.09,21.19,928477,974247545.0,0.0,0.26
2010-01-13,1022.43,1022.43,1022.43,1022.43,-1.11,-11.44,982097,1070069925.0,0.0,0.27
2010-01-14,1045.48,1045.48,1045.48,1045.48,2.25,23.05,852209,1007021361.0,0.0,0.24
2010-01-15,1047.21,1047.21,1047.21,1047.21,0.17,1.73,697521,806847972.0,0.0,0.19
2010-01-18,1078.81,1078.81,1078.81,1078.81,3.02,31.6,1782310,1579662689.0,0.0,0.5
2010-01-19,1077.05,1077.05,1077.05,1077.05,-0.16,-1.76,2157078,1907142765.0,0.0,0.6
2010-01-20,1053.0,1053.0,1053.0,1053.0,-2.23,-24.05,1911274,1807117315.0,0.0,0.53
2010-01-21,1052.07,1052.07,1052.07,1052.07,-0.09,-0.93,1072354,1100000045.0,0.0,0.3
2010-01-22,1028.82,1028.82,1028.82,1028.82,-2.21,-23.25,1021987,1037141535.0,0.0,0.29
2010-01-25,1011.92,1011.92,1011.92,1011.92,-1.64,-16.9,918224,848195146.0,0.0,0.26
2010-01-26,987.73,987.73,987.73,987.73,-2.39,-24.19,1255227,1106233239.0,0.0,0.35
2010-01-27,982.08,982.08,982.08,982.08,-0.57,-5.65,996431,918364489.0,0.0,0.28
2010-01-28,1005.82,1005.82,1005.82,1005.82,2.42,23.74,1701661,1443563652.0,0.0,0.47
2010-01-29,1025.53,1025.53,1025.53,1025.53,1.96,19.71,2231094,2053980019.0,0.0,0.62
2010-02-01,1022.52,1022.52,1022.52,1022.52,-0.29,-3.01,2211436,2193377693.0,0.0,0.62
2010-02-02,1005.06,1005.06,1005.06,1005.06,-1.71,-17.46,261358,354448251.0,0.0,0.07
2010-02-03,1010.09,1010.09,1010.09,1010.09,0.5,5.03,1117836,1242908800.0,0.0,0.31
2010-02-04,1020.26,1020.26,1020.26,1020.26,1.01,10.17,829678,994236070.0,0.0,0.23
2010-02-05,1012.83,1012.83,1012.83,1012.83,-0.73,-7.43,3390046,4030149230.0,0.0,0.95
2010-02-08,1043.29,1043.29,1043.29,1043.29,3.01,30.46,2584883,3099950707.0,0.0,0.72
2010-02-09,1038.07,1038.07,1038.07,1038.07,-0.5,-5.22,419854,455244180.0,0.0,0.12
2010-02-10,1042.32,1042.32,1042.32,1042.32,0.41,4.25,198965,246452632.0,0.0,0.06
2010-02-11,1033.32,1033.32,1033.32,1033.32,-0.86,-9.0,243532,298320721.0,0.0,0.07
2010-02-12,1046.28,1046.28,1046.28,1046.28,1.25,12.96,164700,203558164.0,0.0,0.05
2010-02-22,1044.2,1044.2,1044.2,1044.2,-0.2,-2.08,209666,248733295.0,0.0,0.06
2010-02-23,1044.81,1044.81,1044.81,1044.81,0.06,0.61,212769,248254393.0,0.0,0.06
2010-02-24,1065.29,1065.29,1065.29,1065.29,1.96,20.48,2185981,2578098664.0,0.0,0.61
2010-02-25,1080.93,1080.93,1080.93,1080.93,1.47,15.64,2060981,2460071625.0,0.0,0.57
2010-02-26,1083.46,1083.46,1083.46,1083.46,0.23,2.53,1500363,1740632287.0,0.0,0.42
2010-03-01,1104.59,1104.59,1104.59,1104.59,1.95,21.13,2178644,2593403360.0,0.0,0.61
2010-03-02,1093.17,1093.17,1093.17,1093.17,-1.03,-11.42,1429661,1673706238.0,0.0,0.4
2010-03-03,1142.02,1142.02,1142.02,1142.02,4.47,48.85,1791556,2202861479.0,0.0,0.5
2010-03-04,1082.96,1082.96,1082.96,1082.96,-5.17,-59.06,2003189,2234615621.0,0.0,0.56
2010-03-05,1076.62,1076.62,1076.62,1076.62,-0.59,-6.34,1313158,1401313121.0,0.0,0.37
2010-03-08,1080.86,1080.86,1080.86,1080.86,0.39,4.24,924490,1008598768.0,0.0,0.26
2010-03-09,1073.52,1073.52,1073.52,1073.52,-0.68,-7.34,877130,957261894.0,0.0,0.24
2010-03-10,1064.72,1064.72,1064.72,1064.72,-0.82,-8.8,1361648,1512317517.0,0.0,0.38
2010-03-11,1056.94,1056.94,1056.94,1056.94,-0.73,-7.78,942669,1005939998.0,0.0,0.26
2010-03-12,1046.12,1046.12,1046.12,1046.12,-1.02,-10.82,781483,877187528.0,0.0,0.22
2010-03-15,1040.74,1040.74,1040.74,1040.74,-0.51,-5.38,972608,1051112928.0,0.0,0.27
2010-03-16,1051.54,1051.54,1051.54,1051.54,1.04,10.8,1285199,1419268544.0,0.0,0.36
2010-03-17,1070.4,1070.4,1070.4,1070.4,1.79,18.86,1050283,1199110242.0,0.0,0.29
2010-03-18,1069.56,1069.56,1069.56,1069.56,-0.08,-0.84,922739,991040101.0,0.0,0.26
2010-03-19,1076.15,1076.15,1076.15,1076.15,0.62,6.59,771148,855253171.0,0.0,0.22
2010-03-22,1078.56,1078.56,1078.56,1078.56,0.22,2.41,637393,727841162.0,0.0,0.18
2010-03-23,1088.09,1088.09,1088.09,1088.09,0.88,9.53,1127272,1259350459.0,0.0,0.31
2010-03-24,1087.98,1087.98,1087.98,1087.98,-0.01,-0.11,803804,918923327.0,0.0,0.22
2010-03-25,1061.86,1061.86,1061.86,1061.86,-2.4,-26.12,879831,965400046.0,0.0,0.25
2010-03-26,1066.56,1066.56,1066.56,1066.56,0.44,4.7,663809,720420704.0,0.0,0.19
2010-03-29,1068.75,1068.75,1068.75,1068.75,0.21,2.19,690661,768904183.0,0.0,0.19
2010-03-30,1085.35,1085.35,1085.35,1085.35,1.55,16.6,641224,747717966.0,0.0,0.18
2010-03-31,1081.78,1081.78,1081.78,1081.78,-0.33,-3.57,612540,727544668.0,0.0,0.17
2010-04-01,1099.51,1099.51,1099.51,1099.51,1.64,17.73,983403,1096459143.0,0.0,0.27
2010-04-02,1099.39,1099.39,1099.39,1099.39,-0.01,-0.12,808898,922110843.0,0.0,0.23
2010-04-06,1107.53,1107.53,1107.53,1107.53,0.74,8.14,902612,1005459374.0,0.0,0.25
2010-04-07,1114.14,1114.14,1114.14,1114.14,0.6,6.61,774712,841678610.0,0.0,0.22
2010-04-08,1109.17,1109.17,1109.17,1109.17,-0.45,-4.97,699483,856091033.0,0.0,0.2
2010-04-09,1116.43,1116.43,1116.43,1116.43,0.65,7.26,585778,697622474.0,0.0,0.16
2010-04-12,1119.63,1119.63,1119.63,1119.63,0.29,3.2,864054,972399782.0,0.0,0.24
2010-04-13,1109.48,1109.48,1109.48,1109.48,-0.91,-10.15,887629,1042806965.0,0.0,0.25
2010-04-14,1137.9,1137.9,1137.9,1137.9,2.56,28.42,1813297,2014856248.0,0.0,0.51
2010-04-15,1118.42,1118.42,1118.42,1118.42,-1.71,-19.48,1156253,1321651731.0,0.0,0.32
2010-04-16,1114.31,1114.31,1114.31,1114.31,-0.37,-4.11,919341,991459226.0,0.0,0.26
2010-04-19,1082.09,1082.09,1082.09,1082.09,-2.89,-32.22,1473215,1608735238.0,0.0,0.41
2010-04-20,1109.42,1109.42,1109.42,1109.42,2.53,27.33,1565264,1760834795.0,0.0,0.44
2010-04-21,1129.52,1129.52,1129.52,1129.52,1.81,20.1,1221147,1404273389.0,0.0,0.34
2010-04-22,1138.72,1138.72,1138.72,1138.72,0.81,9.2,1055980,1212560523.0,0.0,0.29
2010-04-23,1122.67,1122.67,1122.67,1122.67,-1.41,-16.05,868914,972375882.0,0.0,0.24
2010-04-26,1109.74,1109.74,1109.74,1109.74,-1.15,-12.93,648850,712039262.0,0.0,0.18
2010-04-27,1070.04,1070.04,1070.04,1070.04,-3.58,-39.7,948707,971850573.0,0.0,0.26
2010-04-28,1052.62,1052.62,1052.62,1052.62,-1.63,-17.42,840732,770422648.0,0.0,0.23
2010-04-29,1042.2,1042.2,1042.2,1042.2,-0.99,-10.42,690159,677653759.0,0.0,0.19
2010-04-30,1012.45,1012.45,1012.45,1012.45,-2.85,-29.75,550222,508593372.0,0.0,0.15
2010-05-04,1022.74,1022.74,1022.74,1022.74,1.02,10.29,493602,454396728.0,0.0,0.14
2010-05-05,1078.57,1078.57,1078.57,1078.57,5.46,55.83,857558,847892634.0,0.0,0.24
2010-05-06,1048.39,1048.39,1048.39,1048.39,-2.8,-30.18,830531,800112167.0,0.0,0.23
2010-05-07,1055.32,1055.32,1055.32,1055.32,0.66,6.93,868516,927626016.0,0.0,0.24
2010-05-10,1043.73,1043.73,1043.73,1043.73,-1.1,-11.59,633236,664477485.0,0.0,0.18
2010-05-11,982.22,982.22,982.22,982.22,-5.89,-61.51,650412,682536253.0,0.0,0.18
2010-05-12,945.61,945.61,945.61,945.61,-3.73,-36.61,699239,645513424.0,0.0,0.2
2010-05-13,960.63,960.63,960.63,960.63,1.59,15.02,560593,512255162.0,0.0,0.16
2010-05-14,957.11,957.11,957.11,957.11,-0.37,-3.52,451617,414457318.0,0.0,0.13
2010-05-17,902.24,902.24,902.24,902.24,-5.73,-54.87,831338,708970195.0,0.0,0.23
2010-05-18,911.09,911.09,911.09,911.09,0.98,8.85,608095,521245981.0,0.0,0.17
2010-05-19,909.83,909.83,909.83,909.83,-0.14,-1.26,601521,504555985.0,0.0,0.17
2010-05-20,895.13,895.13,895.13,895.13,-1.62,-14.7,467306,392437136.0,0.0,0.13
2010-05-21,906.06,906.06,906.06,906.06,1.22,10.93,626826,516204076.0,0.0,0.17
2010-05-24,946.38,946.38,946.38,946.38,4.45,40.32,882293,787169216.0,0.0,0.25
2010-05-25,943.69,943.69,943.69,943.69,-0.28,-2.69,692633,619814018.0,0.0,0.19
2010-05-26,941.87,941.87,941.87,941.87,-0.19,-1.82,158718,177123512.0,0.0,0.04
2010-05-27,954.62,954.62,954.62,954.62,1.35,12.75,676776,589704778.0,0.0,0.19
2010-05-28,961.41,961.41,961.41,961.41,0.71,6.79,998833,889868031.0,0.0,0.28
2010-05-31,935.33,935.33,935.33,935.33,-2.71,-26.08,906761,804506381.0,0.0,0.25
2010-06-01,913.91,913.91,913.91,913.91,-2.29,-21.42,676906,598492797.0,0.0,0.19
2010-06-02,924.3,924.3,924.3,924.3,1.14,10.39,513935,439425734.0,0.0,0.14
2010-06-03,927.2,927.2,927.2,927.2,0.31,2.9,541396,485654048.0,0.0,0.15
2010-06-04,932.05,932.05,932.05,932.05,0.52,4.85,407751,347860342.0,0.0,0.11
2010-06-07,915.73,915.73,915.73,915.73,-1.75,-16.32,379705,332922883.0,0.0,0.11
2010-06-08,924.56,924.56,924.56,924.56,0.96,8.83,387098,356755744.0,0.0,0.11
2010-06-09,959.03,959.03,959.03,959.03,3.73,34.47,580304,577316223.0,0.0,0.16
2010-06-10,963.48,963.48,963.48,963.48,0.46,4.45,658503,589671494.0,0.0,0.18
2010-06-11,955.23,955.23,955.23,955.23,-0.86,-8.25,417819,382625818.0,0.0,0.12
2010-06-17,956.45,956.45,956.45,956.45,0.13,1.22,353612,334671823.0,0.0,0.1
2010-06-18,910.08,910.08,910.08,910.08,-4.85,-46.37,406804,362410517.0,0.0,0.11
2010-06-21,934.53,934.53,934.53,934.53,2.69,24.45,691849,597043767.0,0.0,0.19
2010-06-22,953.51,953.51,953.51,953.51,2.03,18.98,1839849,1611591701.0,0.0,0.51
2010-06-23,960.07,960.07,960.07,960.07,0.69,6.56,1455907,1239708621.0,0.0,0.41
2010-06-24,953.0,953.0,953.0,953.0,-0.74,-7.07,707390,620478034.0,0.0,0.2
2010-06-25,936.19,936.19,936.19,936.19,-1.76,-16.81,562093,496808319.0,0.0,0.16
2010-06-28,913.75,913.75,913.75,913.75,-2.4,-22.44,456192,399678959.0,0.0,0.13
2010-06-29,857.05,857.05,857.05,857.05,-6.21,-56.7,652451,529869136.0,0.0,0.18
2010-06-30,830.91,830.91,830.91,830.91,-3.05,-26.14,420856,338417225.0,0.0,0.12
2010-07-01,827.68,827.68,827.68,827.68,-0.39,-3.23,323690,270845832.0,0.0,0.09
2010-07-02,818.08,818.08,818.08,818.08,-1.16,-9.6,478756,370250298.0,0.0,0.13
2010-07-05,813.86,813.86,813.86,813.86,-0.52,-4.22,304657,238867063.0,0.0,0.08
2010-07-06,832.24,832.24,832.24,832.24,2.26,18.38,351449,281834734.0,0.0,0.1
2010-07-07,844.78,844.78,844.78,844.78,1.51,12.54,644998,492527800.0,0.0,0.18
2010-07-08,845.38,845.38,845.38,845.38,0.07,0.6,473150,367212918.0,0.0,0.13
2010-07-09,865.64,865.64,865.64,865.64,2.4,20.26,619730,515652636.0,0.0,0.17
2010-07-12,870.58,870.58,870.58,870.58,0.57,4.94,654163,557088929.0,0.0,0.18
2010-07-13,863.45,863.45,863.45,863.45,-0.82,-7.13,509630,444714345.0,0.0,0.14
2010-07-14,865.66,865.66,865.66,865.66,0.26,2.21,516222,440235355.0,0.0,0.14
2010-07-15,845.42,845.42,845.42,845.42,-2.34,-20.24,544135,450188116.0,0.0,0.15
2010-07-16,853.68,853.68,853.68,853.68,0.98,8.26,482622,449674957.0,0.0,0.13
2010-07-19,879.25,879.25,879.25,879.25,3.0,25.57,590793,530687599.0,0.0,0.16
2010-07-20,913.45,913.45,913.45,913.45,3.89,34.2,992223,933028926.0,0.0,0.28
2010-07-21,913.85,913.85,913.85,913.85,0.04,0.4,886752,807912297.0,0.0,0.25
2010-07-22,935.44,935.44,935.44,935.44,2.36,21.59,709306,679445328.0,0.0,0.2
2010-07-23,927.83,927.83,927.83,927.83,-0.81,-7.61,771860,682459309.0,0.0,0.22
2010-07-26,967.6,967.6,967.6,967.6,4.29,39.77,1107876,1035953924.0,0.0,0.31
2010-07-27,961.54,961.54,961.54,961.54,-0.63,-6.06,643830,624093016.0,0.0,0.18
2010-07-28,995.54,995.54,995.54,995.54,3.54,34.0,1464576,1278571789.0,0.0,0.41
2010-07-29,985.53,985.53,985.53,985.53,-1.01,-10.01,876791,806296688.0,0.0,0.24
2010-07-30,982.86,982.86,982.86,982.86,-0.27,-2.67,692832,641530495.0,0.0,0.19
2010-08-02,1003.95,1003.95,1003.95,1003.95,2.15,21.09,814418,758948854.0,0.0,0.23
2010-08-03,987.14,987.14,987.14,987.14,-1.67,-16.81,780986,688426294.0,0.0,0.22
2010-08-04,1005.27,1005.27,1005.27,1005.27,1.84,18.13,635347,608335568.0,0.0,0.18
2010-08-05,1010.26,1010.26,1010.26,1010.26,0.5,4.99,659910,671470257.0,0.0,0.18
2010-08-06,1041.05,1041.05,1041.05,1041.05,3.05,30.79,1016052,1001603572.0,0.0,0.28
2010-08-09,1063.63,1063.63,1063.63,1063.63,2.17,22.58,1197669,1168194482.0,0.0,0.33
2010-08-10,1021.73,1021.73,1021.73,1021.73,-3.94,-41.9,847122,822207060.0,0.0,0.24
2010-08-11,1019.16,1019.16,1019.16,1019.16,-0.25,-2.57,527336,725984852.0,0.0,0.15
2010-08-12,998.02,998.02,998.02,998.02,-2.07,-21.14,560701,683108423.0,0.0,0.16
2010-08-13,1010.67,1010.67,1010.67,1010.67,1.27,12.65,527942,607609078.0,0.0,0.15
2010-08-16,1026.97,1026.97,1026.97,1026.97,1.61,16.3,670896,746322795.0,0.0,0.19
2010-08-17,1022.03,1022.03,1022.03,1022.03,-0.48,-4.94,701193,841819151.0,0.0,0.2
2010-08-18,1012.64,1012.64,1012.64,1012.64,-0.92,-9.39,563504,650766229.0,0.0,0.16
2010-08-19,1032.42,1032.42,1032.42,1032.42,1.95,19.78,980602,1038385397.0,0.0,0.27
2010-08-20,995.95,995.95,995.95,995.95,-3.53,-36.47,778954,855532759.0,0.0,0.22
2010-08-23,990.1,990.1,990.1,990.1,-0.59,-5.85,530058,583840629.0,0.0,0.15
2010-08-24,1010.41,1010.41,1010.41,1010.41,2.05,20.31,664938,667728889.0,0.0,0.19
2010-08-25,986.75,986.75,986.75,986.75,-2.34,-23.66,561225,556111913.0,0.0,0.16
2010-08-26,996.51,996.51,996.51,996.51,0.99,9.76,505820,554600863.0,0.0,0.14
2010-08-27,1022.32,1022.32,1022.32,1022.32,2.59,25.81,388954,481403390.0,0.0,0.11
2010-08-30,1044.49,1044.49,1044.49,1044.49,2.17,22.17,669010,819720337.0,0.0,0.19
2010-08-31,1048.84,1048.84,1048.84,1048.84,0.42,4.35,605002,712116099.0,0.0,0.17
2010-09-01,1036.64,1036.64,1036.64,1036.64,-1.16,-12.2,760746,897289266.0,0.0,0.21
2010-09-02,1050.23,1050.23,1050.23,1050.23,1.31,13.59,839275,907167100.0,0.0,0.23
2010-09-03,1085.94,1085.94,1085.94,1085.94,3.4,35.71,1823842,1780084104.0,0.0,0.51
2010-09-06,1096.11,1096.11,1096.11,1096.11,0.94,10.17,1519912,1634419635.0,0.0,0.42
2010-09-07,1114.32,1114.32,1114.32,1114.32,1.66,18.21,911165,1084858141.0,0.0,0.25
2010-09-08,1119.54,1119.54,1119.54,1119.54,0.47,5.22,1039430,1152821765.0,0.0,0.29
2010-09-09,1082.71,1082.71,1082.71,1082.71,-3.29,-36.83,817898,904674964.0,0.0,0.23
2010-09-10,1089.67,1089.67,1089.67,1089.67,0.64,6.96,608709,634179898.0,0.0,0.17
2010-09-13,1113.41,1113.41,1113.41,1113.41,2.18,23.74,694274,737554947.0,0.0,0.19
2010-09-14,1111.52,1111.52,1111.52,1111.52,-0.17,-1.89,563900,609904500.0,0.0,0.16
2010-09-15,1094.19,1094.19,1094.19,1094.19,-1.56,-17.33,884943,922404464.0,0.0,0.25
2010-09-16,1082.98,1082.98,1082.98,1082.98,-1.02,-11.21,675845,707793758.0,0.0,0.19
2010-09-17,1078.0,1078.0,1078.0,1078.0,-0.46,-4.98,379674,442298729.0,0.0,0.11
2010-09-20,1088.02,1088.02,1088.02,1088.02,0.93,10.02,408883,492242085.0,0.0,0.11
2010-09-21,1080.11,1080.11,1080.11,1080.11,-0.73,-7.91,1304959,1831501674.0,0.0,0.36
2010-09-27,1121.65,1121.65,1121.65,1121.65,3.85,41.54,1170529,1789473753.0,0.0,0.33
2010-09-28,1109.96,1109.96,1109.96,1109.96,-1.04,-11.69,987853,1435011704.0,0.0,0.28
2010-09-29,1098.9,1098.9,1098.9,1098.9,-1.0,-11.06,855744,1173629482.0,0.0,0.24
2010-09-30,1109.65,1109.65,1109.65,1109.65,0.98,10.75,598627,850536130.0,0.0,0.17
2010-10-08,1135.46,1135.46,1135.46,1135.46,2.33,25.81,891020,1198223233.0,0.0,0.25
2010-10-11,1184.72,1184.72,1184.72,1184.72,4.34,49.26,1896130,2643091531.0,0.0,0.53
2010-10-12,1182.4,1182.4,1182.4,1182.4,-0.2,-2.32,974528,1352350629.0,0.0,0.27
2010-10-13,1200.04,1200.04,1200.04,1200.04,1.49,17.64,1291296,1969834923.0,0.0,0.36
2010-10-14,1153.62,1153.62,1153.62,1153.62,-3.87,-46.42,1471467,1940906694.0,0.0,0.41
2010-10-15,1123.53,1123.53,1123.53,1123.53,-2.61,-30.09,1213839,1613995911.0,0.0,0.34
2010-10-18,1099.85,1099.85,1099.85,1099.85,-2.11,-23.68,941657,1115085450.0,0.0,0.26
2010-10-19,1126.24,1126.24,1126.24,1126.24,2.4,26.39,706952,854336929.0,0.0,0.2
2010-10-20,1162.09,1162.09,1162.09,1162.09,3.18,35.85,1182117,1506766703.0,0.0,0.33
2010-10-21,1156.75,1156.75,1156.75,1156.75,-0.46,-5.34,783280,1099333069.0,0.0,0.22
2010-10-22,1162.68,1162.68,1162.68,1162.68,0.51,5.93,698700,855216512.0,0.0,0.19
2010-10-25,1195.08,1195.08,1195.08,1195.08,2.79,32.4,1095862,1578184667.0,0.0,0.31
2010-10-26,1196.24,1196.24,1196.24,1196.24,0.1,1.16,1137916,1514489870.0,0.0,0.32
2010-10-27,1196.3,1196.3,1196.3,1196.3,0.01,0.06,1055750,1270440862.0,0.0,0.29
2010-10-28,1199.57,1199.57,1199.57,1199.57,0.27,3.27,1062957,1126232622.0,0.0,0.3
2010-10-29,1194.65,1194.65,1194.65,1194.65,-0.41,-4.92,820113,980182935.0,0.0,0.23
2010-11-01,1214.59,1214.59,1214.59,1214.59,1.67,19.94,1043799,1354720387.0,0.0,0.29
2010-11-02,1202.34,1202.34,1202.34,1202.34,-1.01,-12.25,1334506,1935692923.0,0.0,0.37
2010-11-03,1220.46,1220.46,1220.46,1220.46,1.51,18.12,1537574,1767172163.0,0.0,0.43
2010-11-04,1247.0,1247.0,1247.0,1247.0,2.17,26.54,2136995,2282012708.0,0.0,0.6
2010-11-05,1277.13,1277.13,1277.13,1277.13,2.42,30.13,1681337,2242126647.0,0.0,0.47
2010-11-08,1350.24,1350.24,1350.24,1350.24,5.72,73.11,2202959,2598344155.0,0.0,0.61
2010-11-09,1337.96,1337.96,1337.96,1337.96,-0.91,-12.28,2016903,2186555828.0,0.0,0.56
2010-11-10,1354.24,1354.24,1354.24,1354.24,1.22,16.28,3095916,3965466888.0,0.0,0.86
2010-11-11,1334.68,1334.68,1334.68,1334.68,-1.44,-19.56,2091427,2674024409.0,0.0,0.58
2010-11-12,1252.11,1252.11,1252.11,1252.11,-6.19,-82.57,1885568,2404834022.0,0.0,0.53
2010-11-15,1308.1,1308.1,1308.1,1308.1,4.47,55.99,1268395,1724163955.0,0.0,0.35
2010-11-16,1270.4,1270.4,1270.4,1270.4,-2.88,-37.7,1529243,1953113043.0,0.0,0.43
2010-11-17,1219.03,1219.03,1219.03,1219.03,-4.04,-51.37,994685,1263075586.0,0.0,0.28
2010-11-18,1223.7,1223.7,1223.7,1223.7,0.38,4.67,854602,982534196.0,0.0,0.24
2010-11-19,1249.76,1249.76,1249.76,1249.76,2.13,26.06,1024320,1217813857.0,0.0,0.29
2010-11-22,1264.8,1264.8,1264.8,1264.8,1.2,15.04,1066568,1332743874.0,0.0,0.3
2010-11-23,1255.97,1255.97,1255.97,1255.97,-0.7,-8.83,857698,1066160802.0,0.0,0.24
2010-11-24,1281.24,1281.24,1281.24,1281.24,2.01,25.27,857774,1135607531.0,0.0,0.24
2010-11-25,1296.75,1296.75,1296.75,1296.75,1.21,15.51,1226148,1476174662.0,0.0,0.34
2010-11-26,1299.17,1299.17,1299.17,1299.17,0.19,2.42,945846,1040745179.0,0.0,0.26
2010-11-29,1299.3,1299.3,1299.3,1299.3,0.01,0.13,871870,1012395615.0,0.0,0.24
2010-11-30,1256.19,1256.19,1256.19,1256.19,-3.32,-43.11,946515,1176411378.0,0.0,0.26
2010-12-01,1266.3,1266.3,1266.3,1266.3,0.8,10.11,783213,1237951272.0,0.0,0.22
2010-12-02,1287.66,1287.66,1287.66,1287.66,1.69,21.36,916991,1211265439.0,0.0,0.26
2010-12-03,1275.52,1275.52,1275.52,1275.52,-0.94,-12.14,856344,1193396119.0,0.0,0.24
2010-12-06,1265.88,1265.88,1265.88,1265.88,-0.76,-9.64,721095,929539692.0,0.0,0.2
2010-12-07,1286.64,1286.64,1286.64,1286.64,1.64,20.76,789119,1271712196.0,0.0,0.22
2010-12-08,1274.33,1274.33,1274.33,1274.33,-0.96,-12.31,625071,1030668054.0,0.0,0.17
2010-12-09,1251.18,1251.18,1251.18,1251.18,-1.82,-23.15,593934,888439937.0,0.0,0.17
2010-12-10,1254.98,1254.98,1254.98,1254.98,0.3,3.8,453109,645135800.0,0.0,0.13
2010-12-13,1297.83,1297.83,1297.83,1297.83,3.41,42.85,678107,1031248467.0,0.0,0.19
2010-12-14,1337.32,1337.32,1337.32,1337.32,3.04,39.49,1475667,2145764779.0,0.0,0.41
2010-12-15,1355.07,1355.07,1355.07,1355.07,1.33,17.75,1241032,2013866625.0,0.0,0.35
2010-12-16,1370.56,1370.56,1370.56,1370.56,1.14,15.49,1249568,1699215884.0,0.0,0.35
2010-12-17,1375.99,1375.99,1375.99,1375.99,0.4,5.43,816209,1271253562.0,0.0,0.23
2010-12-20,1404.22,1404.22,1404.22,1404.22,2.05,28.23,1379188,2107271230.0,0.0,0.38
2010-12-21,1399.62,1399.62,1399.62,1399.62,-0.33,-4.6,1084965,1916168308.0,0.0,0.3
2010-12-22,1380.53,1380.53,1380.53,1380.53,-1.36,-19.09,768109,1246450858.0,0.0,0.21
2010-12-23,1340.81,1340.81,1340.81,1340.81,-2.88,-39.72,565769,942020767.0,0.0,0.16
2010-12-24,1312.41,1312.41,1312.41,1312.41,-2.12,-28.4,682265,1011174650.0,0.0,0.19
2010-12-27,1271.16,1271.16,1271.16,1271.16,-3.14,-41.25,897058,1178048546.0,0.0,0.25
2010-12-28,1246.38,1246.38,1246.38,1246.38,-1.95,-24.78,648254,829540907.0,0.0,0.18
2010-12-29,1269.32,1269.32,1269.32,1269.32,1.84,22.94,405608,635908865.0,0.0,0.11
2010-12-30,1266.84,1266.84,1266.84,1266.84,-0.2,-2.48,437981,750948627.0,0.0,0.12
2010-12-31,1298.21,1298.21,1298.21,1298.21,2.48,31.37,426855,688429351.0,0.0,0.12
2011-01-04,1318.12,1318.12,1318.12,1318.12,1.53,19.91,585365,937245390.0,0.0,0.16
2011-01-05,1302.14,1302.14,1302.14,1302.14,-1.21,-15.98,582806,835803293.0,0.0,0.16
2011-01-06,1285.6,1285.6,1285.6,1285.6,-1.27,-16.54,507867,798663257.0,0.0,0.14
2011-01-07,1291.31,1291.31,1291.31,1291.31,0.44,5.71,541277,809923166.0,0.0,0.15
2011-01-10,1267.54,1267.54,1267.54,1267.54,-1.84,-23.77,545068,834669908.0,0.0,0.15
2011-01-11,1239.19,1239.19,1239.19,1239.19,-2.24,-28.35,516923,720253395.0,0.0,0.14
2011-01-12,1248.64,1248.64,1248.64,1248.64,0.76,9.45,321505,477053886.0,0.0,0.09
2011-01-13,1255.94,1255.94,1255.94,1255.94,0.58,7.3,293246,499304979.0,0.0,0.08
2011-01-14,1232.25,1232.25,1232.25,1232.25,-1.89,-23.69,403886,648058559.0,0.0,0.11
2011-01-17,1161.73,1161.73,1161.73,1161.73,-5.72,-70.52,479730,687146916.0,0.0,0.13
2011-01-18,1164.53,1164.53,1164.53,1164.53,0.24,2.8,249488,365654608.0,0.0,0.07
2011-01-19,1189.89,1189.89,1189.89,1189.89,2.18,25.36,268158,377931579.0,0.0,0.07
2011-01-20,1150.23,1150.23,1150.23,1150.23,-3.33,-39.66,356548,516859547.0,0.0,0.1
2011-01-21,1165.46,1165.46,1165.46,1165.46,1.32,15.23,394095,777975189.0,0.0,0.11
2011-01-24,1133.21,1133.21,1133.21,1133.21,-2.77,-32.25,434677,879834999.0,0.0,0.12
2011-01-25,1096.15,1096.15,1096.15,1096.15,-3.27,-37.06,266486,431219843.0,0.0,0.07
2011-01-26,1123.16,1123.16,1123.16,1123.16,2.46,27.01,280567,499508167.0,0.0,0.08
2011-01-27,1144.39,1144.39,1144.39,1144.39,1.89,21.23,346511,496287587.0,0.0,0.1
2011-01-28,1182.76,1182.76,1182.76,1182.76,3.35,38.37,598179,747348383.0,0.0,0.17
2011-01-31,1185.12,1185.12,1185.12,1185.12,0.2,2.36,447234,573148663.0,0.0,0.12
2011-02-01,1177.14,1177.14,1177.14,1177.14,-0.67,-7.98,340659,431124917.0,0.0,0.1
2011-02-09,1207.18,1207.18,1207.18,1207.18,2.55,30.04,794521,1029468191.0,0.0,0.22
2011-02-10,1258.52,1258.52,1258.52,1258.52,4.25,51.34,753718,1208582830.0,0.0,0.21
