日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,998.44,998.44,998.44,998.44,-0.16,-1.56,583776,1145810991.0,0.0,0.31
2010-01-05,1035.67,1035.67,1035.67,1035.67,3.73,37.23,1135892,2475973906.0,0.0,0.59
2010-01-06,1035.66,1035.66,1035.66,1035.66,0.0,-0.01,1214855,2746613464.0,0.0,0.64
2010-01-07,1026.91,1026.91,1026.91,1026.91,-0.84,-8.75,1224456,2689793681.0,0.0,0.64
2010-01-08,1011.11,1011.11,1011.11,1011.11,-1.54,-15.8,724337,1495053452.0,0.0,0.38
2010-01-11,1025.25,1025.25,1025.25,1025.25,1.4,14.14,756189,1456957746.0,0.0,0.4
2010-01-12,1028.97,1028.97,1028.97,1028.97,0.36,3.72,826829,1563738586.0,0.0,0.43
2010-01-13,982.96,982.96,982.96,982.96,-4.47,-46.01,1046822,2465698075.0,0.0,0.55
2010-01-14,999.66,999.66,999.66,999.66,1.7,16.7,609709,1337701985.0,0.0,0.32
2010-01-15,994.57,994.57,994.57,994.57,-0.51,-5.09,599294,1270278272.0,0.0,0.31
2010-01-18,999.18,999.18,999.18,999.18,0.46,4.61,690748,1238905114.0,0.0,0.36
2010-01-19,1009.73,1009.73,1009.73,1009.73,1.06,10.55,694462,1301815924.0,0.0,0.36
2010-01-20,978.26,978.26,978.26,978.26,-3.12,-31.47,858957,1657267711.0,0.0,0.45
2010-01-21,970.82,970.82,970.82,970.82,-0.76,-7.44,571519,1072752030.0,0.0,0.3
2010-01-22,934.96,934.96,934.96,934.96,-3.69,-35.86,700198,1271031689.0,0.0,0.37
2010-01-25,924.72,924.72,924.72,924.72,-1.1,-10.24,387723,732989046.0,0.0,0.2
2010-01-26,887.13,887.13,887.13,887.13,-4.07,-37.59,477639,833615839.0,0.0,0.25
2010-01-27,870.09,870.09,870.09,870.09,-1.92,-17.04,451048,839091589.0,0.0,0.24
2010-01-28,864.44,864.44,864.44,864.44,-0.65,-5.65,622670,1145088290.0,0.0,0.33
2010-01-29,863.63,863.63,863.63,863.63,-0.09,-0.81,558642,1047861907.0,0.0,0.29
2010-02-01,848.82,848.82,848.82,848.82,-1.71,-14.81,504684,863031361.0,0.0,0.26
2010-02-02,860.66,860.66,860.66,860.66,1.39,11.84,500540,913730983.0,0.0,0.26
2010-02-03,891.01,891.01,891.01,891.01,3.53,30.35,619126,1136296213.0,0.0,0.32
2010-02-04,883.95,883.95,883.95,883.95,-0.79,-7.06,469919,862063607.0,0.0,0.25
2010-02-05,856.13,856.13,856.13,856.13,-3.15,-27.82,499166,845829408.0,0.0,0.26
2010-02-08,856.14,856.14,856.14,856.14,0.0,0.01,234431,398565783.0,0.0,0.12
2010-02-09,869.35,869.35,869.35,869.35,1.54,13.21,311414,544922842.0,0.0,0.16
2010-02-10,879.81,879.81,879.81,879.81,1.2,10.46,347514,675578512.0,0.0,0.18
2010-02-11,882.78,882.78,882.78,882.78,0.34,2.97,308128,552802133.0,0.0,0.16
2010-02-12,896.58,896.58,896.58,896.58,1.56,13.8,330161,596466029.0,0.0,0.17
2010-02-22,898.76,898.76,898.76,898.76,0.24,2.18,363358,639278458.0,0.0,0.19
2010-02-23,882.26,882.26,882.26,882.26,-1.84,-16.5,313890,554110097.0,0.0,0.16
2010-02-24,896.21,896.21,896.21,896.21,1.58,13.95,317879,526451892.0,0.0,0.17
2010-02-25,917.53,917.53,917.53,917.53,2.38,21.32,604021,1038770642.0,0.0,0.32
2010-02-26,900.26,900.26,900.26,900.26,-1.88,-17.27,445468,768555672.0,0.0,0.23
2010-03-01,921.09,921.09,921.09,921.09,2.31,20.83,698077,1275148822.0,0.0,0.37
2010-03-02,904.3,904.3,904.3,904.3,-1.82,-16.79,481019,804077830.0,0.0,0.25
2010-03-03,906.55,906.55,906.55,906.55,0.25,2.25,421726,703267738.0,0.0,0.22
2010-03-04,878.39,878.39,878.39,878.39,-3.11,-28.16,478551,758184985.0,0.0,0.25
2010-03-05,885.33,885.33,885.33,885.33,0.79,6.94,330465,543495862.0,0.0,0.17
2010-03-08,890.49,890.49,890.49,890.49,0.58,5.16,244455,405469480.0,0.0,0.13
2010-03-09,901.43,901.43,901.43,901.43,1.23,10.94,491099,834924756.0,0.0,0.26
2010-03-10,907.3,907.3,907.3,907.3,0.65,5.87,489282,809040387.0,0.0,0.26
2010-03-11,896.75,896.75,896.75,896.75,-1.16,-10.55,354217,563267222.0,0.0,0.19
2010-03-12,880.29,880.29,880.29,880.29,-1.84,-16.46,285307,450073664.0,0.0,0.15
2010-03-15,857.66,857.66,857.66,857.66,-2.57,-22.63,302248,468499132.0,0.0,0.16
2010-03-16,865.45,865.45,865.45,865.45,0.91,7.79,196944,325841884.0,0.0,0.1
2010-03-17,883.11,883.11,883.11,883.11,2.04,17.66,316505,508205923.0,0.0,0.17
2010-03-18,883.97,883.97,883.97,883.97,0.1,0.86,343722,562190773.0,0.0,0.18
2010-03-19,904.12,904.12,904.12,904.12,2.28,20.15,755971,1263216898.0,0.0,0.4
2010-03-22,898.56,898.56,898.56,898.56,-0.61,-5.56,457401,724842138.0,0.0,0.24
2010-03-23,903.46,903.46,903.46,903.46,0.55,4.9,584155,1039896582.0,0.0,0.31
2010-03-24,898.5,898.5,898.5,898.5,-0.55,-4.96,414903,728534735.0,0.0,0.22
2010-03-25,878.64,878.64,878.64,878.64,-2.21,-19.86,389932,636660242.0,0.0,0.2
2010-03-26,885.32,885.32,885.32,885.32,0.76,6.68,432055,744898472.0,0.0,0.23
2010-03-29,908.76,908.76,908.76,908.76,2.65,23.44,869180,1642246500.0,0.0,0.46
2010-03-30,913.96,913.96,913.96,913.96,0.57,5.2,670729,1361014823.0,0.0,0.35
2010-03-31,911.41,911.41,911.41,911.41,-0.28,-2.55,467421,859778663.0,0.0,0.24
2010-04-01,938.19,938.19,938.19,938.19,2.94,26.78,768675,1365381599.0,0.0,0.4
2010-04-02,955.25,955.25,955.25,955.25,1.82,17.06,824172,1515362154.0,0.0,0.43
2010-04-06,971.36,971.36,971.36,971.36,1.69,16.11,753213,1354811091.0,0.0,0.39
2010-04-07,974.68,974.68,974.68,974.68,0.34,3.32,530209,983401977.0,0.0,0.28
2010-04-08,965.91,965.91,965.91,965.91,-0.9,-8.77,657583,1170741836.0,0.0,0.34
2010-04-09,983.85,983.85,983.85,983.85,1.86,17.94,666512,1138699278.0,0.0,0.35
2010-04-12,1002.6,1002.6,1002.6,1002.6,1.91,18.75,981185,1575525592.0,0.0,0.51
2010-04-13,1013.0,1013.0,1013.0,1013.0,1.04,10.4,1105668,1969521052.0,0.0,0.58
2010-04-14,1034.42,1034.42,1034.42,1034.42,2.11,21.42,1025929,1983940691.0,0.0,0.54
2010-04-15,1015.49,1015.49,1015.49,1015.49,-1.83,-18.93,713581,1308078522.0,0.0,0.37
2010-04-16,1012.58,1012.58,1012.58,1012.58,-0.29,-2.91,389153,556560466.0,0.0,0.2
2010-04-19,953.98,953.98,953.98,953.98,-5.79,-58.6,1043557,1937544515.0,0.0,0.55
2010-04-20,968.81,968.81,968.81,968.81,1.55,14.83,626669,1107650009.0,0.0,0.33
2010-04-21,994.7,994.7,994.7,994.7,2.67,25.89,714843,1219781574.0,0.0,0.37
2010-04-22,1025.88,1025.88,1025.88,1025.88,3.13,31.18,1005353,1834169036.0,0.0,0.53
2010-04-23,1037.58,1037.58,1037.58,1037.58,1.14,11.7,1101649,1964634912.0,0.0,0.58
2010-04-26,1026.01,1026.01,1026.01,1026.01,-1.12,-11.57,695543,1190717223.0,0.0,0.36
2010-04-27,997.95,997.95,997.95,997.95,-2.73,-28.06,734909,1221900273.0,0.0,0.38
2010-04-28,989.03,989.03,989.03,989.03,-0.89,-8.92,783399,1408482656.0,0.0,0.41
2010-04-29,947.54,947.54,947.54,947.54,-4.2,-41.49,825019,1351978747.0,0.0,0.43
2010-04-30,932.09,932.09,932.09,932.09,-1.63,-15.45,650700,1063627060.0,0.0,0.34
2010-05-04,934.18,934.18,934.18,934.18,0.22,2.09,566116,886192614.0,0.0,0.3
2010-05-05,934.74,934.74,934.74,934.74,0.06,0.56,901222,1221087255.0,0.0,0.47
2010-05-06,891.65,891.65,891.65,891.65,-4.61,-43.09,1089691,1546632521.0,0.0,0.57
2010-05-07,850.04,850.04,850.04,850.04,-4.67,-41.61,918439,1190592777.0,0.0,0.48
2010-05-10,848.24,848.24,848.24,848.24,-0.21,-1.8,786024,1010940491.0,0.0,0.41
2010-05-11,830.89,830.89,830.89,830.89,-2.05,-17.35,1106398,1495085350.0,0.0,0.58
2010-05-12,819.99,819.99,819.99,819.99,-1.31,-10.9,742355,992228183.0,0.0,0.39
2010-05-13,845.99,845.99,845.99,845.99,3.17,26.0,826847,1097520477.0,0.0,0.43
2010-05-14,853.07,853.07,853.07,853.07,0.84,7.08,780279,1046885549.0,0.0,0.41
2010-05-17,797.71,797.71,797.71,797.71,-6.49,-55.36,751687,990195353.0,0.0,0.39
2010-05-18,802.73,802.73,802.73,802.73,0.63,5.02,806364,1036816459.0,0.0,0.42
2010-05-19,800.31,800.31,800.31,800.31,-0.3,-2.42,643316,868530645.0,0.0,0.34
2010-05-20,784.41,784.41,784.41,784.41,-1.99,-15.9,643908,850895603.0,0.0,0.34
2010-05-21,793.6,793.6,793.6,793.6,1.17,9.19,681076,966274448.0,0.0,0.36
2010-05-24,836.68,836.68,836.68,836.68,5.43,43.08,876624,1274648887.0,0.0,0.46
2010-05-25,840.27,840.27,840.27,840.27,0.43,3.59,1158902,1321267944.0,0.0,0.61
2010-05-26,842.8,842.8,842.8,842.8,0.3,2.53,808400,841781572.0,0.0,0.42
2010-05-27,885.06,885.06,885.06,885.06,5.01,42.26,1314307,1613165284.0,0.0,0.69
2010-05-28,888.78,888.78,888.78,888.78,0.42,3.72,1266485,1616864050.0,0.0,0.66
2010-05-31,846.25,846.25,846.25,846.25,-4.79,-42.53,927621,1181947615.0,0.0,0.49
2010-06-01,861.77,861.77,861.77,861.77,1.83,15.52,1706421,1795490522.0,0.0,0.89
2010-06-02,859.14,859.14,859.14,859.14,-0.31,-2.63,1410189,1367468297.0,0.0,0.74
2010-06-03,845.41,845.41,845.41,845.41,-1.6,-13.73,1021098,1144669383.0,0.0,0.53
2010-06-04,851.92,851.92,851.92,851.92,0.77,6.51,986483,898477524.0,0.0,0.52
2010-06-07,842.82,842.82,842.82,842.82,-1.07,-9.1,1014323,1060599531.0,0.0,0.53
2010-06-08,843.78,843.78,843.78,843.78,0.11,0.96,733504,761385471.0,0.0,0.38
2010-06-09,873.53,873.53,873.53,873.53,3.53,29.75,999444,1149740437.0,0.0,0.52
2010-06-10,863.16,863.16,863.16,863.16,-1.19,-10.37,742000,841944294.0,0.0,0.39
2010-06-11,875.7,875.7,875.7,875.7,1.45,12.54,864436,1074709842.0,0.0,0.45
2010-06-17,874.06,874.06,874.06,874.06,-0.19,-1.64,810540,974384274.0,0.0,0.42
2010-06-18,843.45,843.45,843.45,843.45,-3.5,-30.61,850228,1026045027.0,0.0,0.45
2010-06-21,877.49,877.49,877.49,877.49,4.04,34.04,889199,1039034484.0,0.0,0.47
2010-06-22,875.47,875.47,875.47,875.47,-0.23,-2.02,664074,784357564.0,0.0,0.35
2010-06-23,868.48,868.48,868.48,868.48,-0.8,-6.99,760973,835126553.0,0.0,0.4
2010-06-24,861.24,861.24,861.24,861.24,-0.83,-7.24,529035,584723471.0,0.0,0.28
2010-06-25,845.51,845.51,845.51,845.51,-1.83,-15.73,535594,576951223.0,0.0,0.28
2010-06-28,833.65,833.65,833.65,833.65,-1.4,-11.86,270261,293884327.0,0.0,0.14
2010-06-29,779.18,779.18,779.18,779.18,-6.53,-54.47,476100,648634618.0,0.0,0.25
2010-06-30,751.38,751.38,751.38,751.38,-3.57,-27.8,539085,527112481.0,0.0,0.28
2010-07-01,740.43,740.43,740.43,740.43,-1.46,-10.95,468746,473241794.0,0.0,0.25
2010-07-02,715.79,715.79,715.79,715.79,-3.33,-24.64,684131,692250172.0,0.0,0.36
2010-07-05,703.91,703.91,703.91,703.91,-1.66,-11.88,410035,408609130.0,0.0,0.21
2010-07-06,727.77,727.77,727.77,727.77,3.39,23.86,570932,573404332.0,0.0,0.3
2010-07-07,726.96,726.96,726.96,726.96,-0.11,-0.81,492368,495586310.0,0.0,0.26
2010-07-08,733.77,733.77,733.77,733.77,0.94,6.81,663461,722212345.0,0.0,0.35
2010-07-09,752.79,752.79,752.79,752.79,2.59,19.02,761538,808154297.0,0.0,0.4
2010-07-12,757.16,757.16,757.16,757.16,0.58,4.37,589325,627731326.0,0.0,0.31
2010-07-13,737.33,737.33,737.33,737.33,-2.62,-19.83,458376,483885005.0,0.0,0.24
2010-07-14,751.37,751.37,751.37,751.37,1.9,14.04,658193,705710449.0,0.0,0.34
2010-07-15,729.45,729.45,729.45,729.45,-2.92,-21.92,491577,521443944.0,0.0,0.26
2010-07-16,731.24,731.24,731.24,731.24,0.25,1.79,339299,363999082.0,0.0,0.18
2010-07-19,750.7,750.7,750.7,750.7,2.66,19.46,582106,669969638.0,0.0,0.3
2010-07-20,783.86,783.86,783.86,783.86,4.42,33.16,1070226,1259548495.0,0.0,0.56
2010-07-21,778.16,778.16,778.16,778.16,-0.73,-5.7,790951,932359513.0,0.0,0.41
2010-07-22,799.46,799.46,799.46,799.46,2.74,21.3,962243,1159421041.0,0.0,0.5
2010-07-23,798.43,798.43,798.43,798.43,-0.13,-1.03,878059,1099657139.0,0.0,0.46
2010-07-26,811.53,811.53,811.53,811.53,1.64,13.1,753730,916766047.0,0.0,0.39
2010-07-27,799.18,799.18,799.18,799.18,-1.52,-12.35,591833,729713680.0,0.0,0.31
2010-07-28,815.97,815.97,815.97,815.97,2.1,16.79,861930,1022769651.0,0.0,0.45
2010-07-29,830.73,830.73,830.73,830.73,1.81,14.76,991645,1259990399.0,0.0,0.52
2010-07-30,831.06,831.06,831.06,831.06,0.04,0.33,859260,1092116540.0,0.0,0.45
2010-08-02,849.21,849.21,849.21,849.21,2.18,18.15,1032882,1375282511.0,0.0,0.54
2010-08-03,838.65,838.65,838.65,838.65,-1.24,-10.56,1359523,1890104102.0,0.0,0.71
2010-08-04,841.13,841.13,841.13,841.13,0.3,2.48,736905,910207621.0,0.0,0.39
2010-08-05,833.17,833.17,833.17,833.17,-0.95,-7.96,696329,886497768.0,0.0,0.36
2010-08-06,852.99,852.99,852.99,852.99,2.38,19.82,812465,1006922840.0,0.0,0.43
2010-08-09,872.28,872.28,872.28,872.28,2.26,19.29,1066748,1336536019.0,0.0,0.56
2010-08-10,835.68,835.68,835.68,835.68,-4.2,-36.6,968460,1220134910.0,0.0,0.51
2010-08-11,832.2,832.2,832.2,832.2,-0.42,-3.48,767385,1017535478.0,0.0,0.4
2010-08-12,820.1,820.1,820.1,820.1,-1.45,-12.1,748168,968965871.0,0.0,0.39
2010-08-13,838.29,838.29,838.29,838.29,2.22,18.19,1063466,1134852079.0,0.0,0.56
2010-08-16,857.53,857.53,857.53,857.53,2.3,19.24,1215591,1447681092.0,0.0,0.64
2010-08-17,856.48,856.48,856.48,856.48,-0.12,-1.05,854373,1051256675.0,0.0,0.45
2010-08-18,895.99,895.99,895.99,895.99,4.61,39.51,2274515,2721249136.0,0.0,1.19
2010-08-19,925.85,925.85,925.85,925.85,3.33,29.86,2533769,3265711886.0,0.0,1.33
2010-08-20,906.06,906.06,906.06,906.06,-2.14,-19.79,2401054,2760448057.0,0.0,1.26
2010-08-23,918.88,918.88,918.88,918.88,1.41,12.82,526814,839177448.0,0.0,0.28
2010-08-24,920.93,920.93,920.93,920.93,0.22,2.05,543040,870495851.0,0.0,0.28
2010-08-25,897.81,897.81,897.81,897.81,-2.51,-23.12,583929,924174956.0,0.0,0.31
2010-08-26,895.85,895.85,895.85,895.85,-0.22,-1.96,1464768,1513456218.0,0.0,0.77
2010-08-27,892.09,892.09,892.09,892.09,-0.42,-3.76,922262,1046225419.0,0.0,0.48
2010-08-30,929.61,929.61,929.61,929.61,4.21,37.52,1529251,1827302561.0,0.0,0.8
2010-08-31,937.92,937.92,937.92,937.92,0.89,8.31,1494449,1981386877.0,0.0,0.78
2010-09-01,943.83,943.83,943.83,943.83,0.63,5.91,2209231,2561054284.0,0.0,1.16
2010-09-02,972.0,972.0,972.0,972.0,2.98,28.17,2470060,3107550370.0,0.0,1.29
2010-09-03,970.73,970.73,970.73,970.73,-0.13,-1.27,1721010,2210624541.0,0.0,0.9
2010-09-06,965.31,965.31,965.31,965.31,-0.56,-5.42,1636056,2256167828.0,0.0,0.86
2010-09-07,975.04,975.04,975.04,975.04,1.01,9.73,1247171,1758974559.0,0.0,0.65
2010-09-08,1021.25,1021.25,1021.25,1021.25,4.74,46.21,2464085,3694303751.0,0.0,1.29
2010-09-09,1000.79,1000.79,1000.79,1000.79,-2.0,-20.46,2013422,3078123915.0,0.0,1.05
2010-09-10,981.09,981.09,981.09,981.09,-1.97,-19.7,1209206,1804103165.0,0.0,0.63
2010-09-13,1001.52,1001.52,1001.52,1001.52,2.08,20.43,1018224,1493773633.0,0.0,0.53
2010-09-14,1007.07,1007.07,1007.07,1007.07,0.55,5.55,1077373,1569484401.0,0.0,0.56
2010-09-15,974.99,974.99,974.99,974.99,-3.19,-32.08,1140054,1562866090.0,0.0,0.6
2010-09-16,951.55,951.55,951.55,951.55,-2.4,-23.44,1124376,1554159546.0,0.0,0.59
2010-09-17,975.93,975.93,975.93,975.93,2.56,24.38,1225349,1691076741.0,0.0,0.64
2010-09-20,952.88,952.88,952.88,952.88,-2.36,-23.05,1007401,1392324519.0,0.0,0.53
2010-09-21,950.87,950.87,950.87,950.87,-0.21,-2.01,568641,768231960.0,0.0,0.3
2010-09-27,1007.4,1007.4,1007.4,1007.4,5.95,56.53,1204500,1691990902.0,0.0,0.63
2010-09-28,1028.96,1028.96,1028.96,1028.96,2.14,21.56,1878333,3019265871.0,0.0,0.98
2010-09-29,1025.91,1025.91,1025.91,1025.91,-0.3,-3.05,1746055,2886901922.0,0.0,0.91
2010-09-30,1058.88,1058.88,1058.88,1058.88,3.21,32.97,1722666,2901515547.0,0.0,0.9
2010-10-08,1116.67,1116.67,1116.67,1116.67,5.46,57.79,1760776,3065781659.0,0.0,0.92
2010-10-11,1137.56,1137.56,1137.56,1137.56,1.87,20.89,2357326,4234515138.0,0.0,1.23
2010-10-12,1222.67,1222.67,1222.67,1222.67,7.48,85.11,3333203,6041196519.0,0.0,1.75
2010-10-13,1255.02,1255.02,1255.02,1255.02,2.65,32.35,4400286,8818388834.0,0.0,2.3
2010-10-14,1299.22,1299.22,1299.22,1299.22,3.52,44.2,3921237,8042969581.0,0.0,2.05
2010-10-15,1337.38,1337.38,1337.38,1337.38,2.94,38.16,3750471,7907667474.0,0.0,1.96
2010-10-18,1266.69,1266.69,1266.69,1266.69,-5.29,-70.69,3583870,8485399219.0,0.0,1.88
2010-10-19,1299.52,1299.52,1299.52,1299.52,2.59,32.83,1782387,3435397151.0,0.0,0.93
2010-10-20,1277.71,1277.71,1277.71,1277.71,-1.68,-21.81,2932951,6808311555.0,0.0,1.54
2010-10-21,1337.57,1337.57,1337.57,1337.57,4.68,59.86,2176152,4909988807.0,0.0,1.14
2010-10-22,1389.03,1389.03,1389.03,1389.03,3.85,51.46,3680334,7308265684.0,0.0,1.93
2010-10-25,1507.43,1507.43,1507.43,1507.43,8.52,118.4,3864105,7806796736.0,0.0,2.02
2010-10-26,1482.33,1482.33,1482.33,1482.33,-1.67,-25.1,4273101,9985251506.0,0.0,2.24
2010-10-27,1439.08,1439.08,1439.08,1439.08,-2.92,-43.25,3061499,7349474134.0,0.0,1.6
2010-10-28,1433.36,1433.36,1433.36,1433.36,-0.4,-5.72,2059266,4633089233.0,0.0,1.08
2010-10-29,1441.77,1441.77,1441.77,1441.77,0.59,8.41,1913315,4459132554.0,0.0,1.0
2010-11-01,1544.89,1544.89,1544.89,1544.89,7.15,103.12,3148511,7911787830.0,0.0,1.65
2010-11-02,1574.01,1574.01,1574.01,1574.01,1.88,29.12,4360729,10998850814.0,0.0,2.28
2010-11-03,1491.51,1491.51,1491.51,1491.51,-5.24,-82.5,3118480,7765901345.0,0.0,1.63
2010-11-04,1523.31,1523.31,1523.31,1523.31,2.13,31.8,2796061,6892249214.0,0.0,1.46
2010-11-05,1528.33,1528.33,1528.33,1528.33,0.33,5.02,2412174,5986165534.0,0.0,1.26
2010-11-08,1503.07,1503.07,1503.07,1503.07,-1.65,-25.26,1833655,4294628190.0,0.0,0.96
2010-11-09,1533.26,1533.26,1533.26,1533.26,2.01,30.19,1962631,5062495247.0,0.0,1.03
2010-11-10,1593.24,1593.24,1593.24,1593.24,3.91,59.98,2957844,7729713478.0,0.0,1.55
2010-11-11,1591.16,1591.16,1591.16,1591.16,-0.13,-2.08,3619370,9330825800.0,0.0,1.9
2010-11-12,1507.08,1507.08,1507.08,1507.08,-5.28,-84.08,3783309,8857943146.0,0.0,1.98
2010-11-15,1475.7,1475.7,1475.7,1475.7,-2.08,-31.38,2342288,5411239796.0,0.0,1.23
2010-11-16,1352.12,1352.12,1352.12,1352.12,-8.37,-123.58,2297848,5055300405.0,0.0,1.2
2010-11-17,1281.97,1281.97,1281.97,1281.97,-5.19,-70.15,1898353,4015892401.0,0.0,0.99
2010-11-18,1324.04,1324.04,1324.04,1324.04,3.28,42.07,1772547,3828244107.0,0.0,0.93
2010-11-19,1349.01,1349.01,1349.01,1349.01,1.89,24.97,1808431,3996383636.0,0.0,0.95
2010-11-22,1368.29,1368.29,1368.29,1368.29,1.43,19.28,1816939,4057228311.0,0.0,0.95
2010-11-23,1286.51,1286.51,1286.51,1286.51,-5.98,-81.78,1297022,2468080445.0,0.0,0.68
2010-11-24,1312.0,1312.0,1312.0,1312.0,1.98,25.49,1397447,3175209433.0,0.0,0.73
2010-11-25,1348.43,1348.43,1348.43,1348.43,2.78,36.43,1602280,3348668893.0,0.0,0.84
2010-11-26,1314.79,1314.79,1314.79,1314.79,-2.49,-33.64,1322882,2745240044.0,0.0,0.69
2010-11-29,1271.0,1271.0,1271.0,1271.0,-3.33,-43.79,1210118,2499430816.0,0.0,0.63
2010-11-30,1268.44,1268.44,1268.44,1268.44,-0.2,-2.56,1583832,3116992100.0,0.0,0.83
2010-12-01,1302.48,1302.48,1302.48,1302.48,2.68,34.04,1471028,3097247157.0,0.0,0.77
2010-12-02,1315.75,1315.75,1315.75,1315.75,1.02,13.27,1744970,3782118747.0,0.0,0.91
2010-12-03,1314.77,1314.77,1314.77,1314.77,-0.07,-0.98,1010594,2101482127.0,0.0,0.53
2010-12-06,1321.33,1321.33,1321.33,1321.33,0.5,6.56,1003687,2368254630.0,0.0,0.53
2010-12-07,1343.8,1343.8,1343.8,1343.8,1.7,22.47,1373384,3294583905.0,0.0,0.72
2010-12-08,1327.0,1327.0,1327.0,1327.0,-1.25,-16.8,1316402,3111475562.0,0.0,0.69
2010-12-09,1301.0,1301.0,1301.0,1301.0,-1.96,-26.0,1037907,2446902872.0,0.0,0.54
2010-12-10,1341.4,1341.4,1341.4,1341.4,3.11,40.4,1353482,3258151718.0,0.0,0.71
2010-12-13,1398.91,1398.91,1398.91,1398.91,4.29,57.51,1929716,4987613343.0,0.0,1.01
2010-12-14,1423.15,1423.15,1423.15,1423.15,1.73,24.24,1681616,3949998542.0,0.0,0.88
2010-12-15,1402.8,1402.8,1402.8,1402.8,-1.43,-20.35,1358177,3190578377.0,0.0,0.71
2010-12-16,1387.93,1387.93,1387.93,1387.93,-1.06,-14.87,1039135,2418536667.0,0.0,0.54
2010-12-17,1404.75,1404.75,1404.75,1404.75,1.21,16.82,910268,2075470589.0,0.0,0.48
2010-12-20,1393.89,1393.89,1393.89,1393.89,-0.77,-10.86,1292797,2830450798.0,0.0,0.68
2010-12-21,1408.14,1408.14,1408.14,1408.14,1.02,14.25,1208868,2705925661.0,0.0,0.63
2010-12-22,1404.67,1404.67,1404.67,1404.67,-0.25,-3.47,1378072,3510362116.0,0.0,0.72
2010-12-23,1373.96,1373.96,1373.96,1373.96,-2.19,-30.71,1038696,2363487490.0,0.0,0.54
2010-12-24,1350.03,1350.03,1350.03,1350.03,-1.74,-23.93,743253,1639559149.0,0.0,0.39
2010-12-27,1304.15,1304.15,1304.15,1304.15,-3.4,-45.88,939633,2094014898.0,0.0,0.49
2010-12-28,1275.19,1275.19,1275.19,1275.19,-2.22,-28.96,814990,1699236195.0,0.0,0.43
2010-12-29,1287.38,1287.38,1287.38,1287.38,0.96,12.19,665859,1482428405.0,0.0,0.35
2010-12-30,1323.48,1323.48,1323.48,1323.48,2.8,36.1,879144,1859154109.0,0.0,0.46
2010-12-31,1388.68,1388.68,1388.68,1388.68,4.93,65.2,1611609,3716469800.0,0.0,0.84
2011-01-04,1432.41,1432.41,1432.41,1432.41,3.15,43.73,2441147,5867989029.0,0.0,1.28
2011-01-05,1401.51,1401.51,1401.51,1401.51,-2.16,-30.9,1558017,3804862803.0,0.0,0.82
2011-01-06,1409.94,1409.94,1409.94,1409.94,0.6,8.43,1259641,2924660465.0,0.0,0.66
2011-01-07,1369.07,1369.07,1369.07,1369.07,-2.9,-40.87,1057768,2479515335.0,0.0,0.55
2011-01-10,1334.97,1334.97,1334.97,1334.97,-2.49,-34.1,798987,1814091447.0,0.0,0.42
2011-01-11,1336.76,1336.76,1336.76,1336.76,0.13,1.79,718316,1605191631.0,0.0,0.38
2011-01-12,1331.89,1331.89,1331.89,1331.89,-0.36,-4.87,674116,1549452550.0,0.0,0.35
2011-01-13,1316.75,1316.75,1316.75,1316.75,-1.14,-15.14,505775,1179610852.0,0.0,0.26
2011-01-14,1256.59,1256.59,1256.59,1256.59,-4.57,-60.16,913429,2041439249.0,0.0,0.48
2011-01-17,1252.11,1252.11,1252.11,1252.11,-0.36,-4.48,1167412,2685121147.0,0.0,0.61
2011-01-18,1244.54,1244.54,1244.54,1244.54,-0.6,-7.57,821038,1755917395.0,0.0,0.43
2011-01-19,1290.72,1290.72,1290.72,1290.72,3.71,46.18,1222122,2918708377.0,0.0,0.64
2011-01-20,1221.67,1221.67,1221.67,1221.67,-5.35,-69.05,1117047,2641398230.0,0.0,0.58
2011-01-21,1217.38,1217.38,1217.38,1217.38,-0.35,-4.29,882232,2002363665.0,0.0,0.46
2011-01-24,1170.12,1170.12,1170.12,1170.12,-3.88,-47.26,822319,1840563185.0,0.0,0.43
2011-01-25,1134.71,1134.71,1134.71,1134.71,-3.03,-35.41,705457,1365019677.0,0.0,0.37
2011-01-26,1146.48,1146.48,1146.48,1146.48,1.04,11.77,494927,1026754753.0,0.0,0.26
2011-01-27,1177.8,1177.8,1177.8,1177.8,2.73,31.32,695224,1447268710.0,0.0,0.36
2011-01-28,1181.07,1181.07,1181.07,1181.07,0.28,3.27,642924,1291690915.0,0.0,0.34
2011-01-31,1207.52,1207.52,1207.52,1207.52,2.24,26.45,727543,1562793876.0,0.0,0.38
2011-02-01,1238.65,1238.65,1238.65,1238.65,2.58,31.13,827033,1853538662.0,0.0,0.43
2011-02-09,1204.83,1204.83,1204.83,1204.83,-2.73,-33.82,833474,1823891143.0,0.0,0.44
2011-02-10,1230.6,1230.6,1230.6,1230.6,2.14,25.77,680643,1455932457.0,0.0,0.36
2011-02-11,1238.28,1238.28,1238.28,1238.28,0.62,7.68,927903,2083958376.0,0.0,0.49
2011-02-14,1278.5,1278.5,1278.5,1278.5,3.25,40.22,1334628,2952090067.0,0.0,0.7
2011-02-15,1302.58,1302.58,1302.58,1302.58,1.88,24.08,1759651,3944580779.0,0.0,0.92
2011-02-16,1334.2,1334.2,1334.2,1334.2,2.43,31.62,1482389,3560323874.0,0.0,0.78
